delta,type,czz_diag,czz_diag_error,cxx_diag,cxx_diag_error
0.400000,support,0.922200,0.002719,0.068438,0.004174
0.500000,novel,0.877400,0.003426,0.112568,0.004645
0.600000,support,0.796200,0.004265,0.182242,0.005790
0.700000,novel,0.680400,0.005066,0.272153,0.005468
0.800000,support,0.535000,0.005552,0.386752,0.005692
0.850000,novel,0.461100,0.005756,0.444623,0.005929
0.900000,support,0.399000,0.005733,0.490073,0.005541
0.920000,novel,0.370400,0.005710,0.518471,0.005827
0.950000,support,0.348600,0.005732,0.535509,0.005464
0.980000,novel,0.326100,0.005673,0.537602,0.005293
1.000000,support,0.293900,0.005623,0.570884,0.005594
1.020000,novel,0.291400,0.005644,0.573878,0.005402
1.050000,support,0.250900,0.005551,0.595301,0.005452
1.080000,novel,0.234700,0.005543,0.613261,0.005377
1.100000,support,0.226300,0.005416,0.617472,0.005444
1.200000,novel,0.178200,0.005294,0.648287,0.005054
1.400000,support,0.133200,0.005151,0.688632,0.005116
1.600000,novel,0.108400,0.004971,0.706915,0.004802
1.800000,novel,0.088200,0.004897,0.714514,0.004769
2.000000,support,0.077600,0.004864,0.721701,0.004677
