delta,type,czz_diag,czz_diag_error,cxx_diag,cxx_diag_error
0.400000,support,0.655400,0.007553,0.176407,0.004256
0.500000,novel,0.596600,0.008026,0.206392,0.004347
0.600000,support,0.517800,0.008555,0.247433,0.004675
0.700000,novel,0.456400,0.008898,0.276784,0.004721
0.800000,support,0.396400,0.009181,0.306196,0.004778
0.850000,novel,0.379200,0.009254,0.316484,0.004864
0.900000,support,0.382600,0.009240,0.314515,0.004842
0.920000,novel,0.349800,0.009369,0.332358,0.004934
0.950000,support,0.343400,0.009392,0.332409,0.004849
0.980000,novel,0.346200,0.009382,0.332621,0.004864
1.000000,support,0.334400,0.009425,0.339139,0.004921
1.020000,novel,0.317000,0.009485,0.344212,0.004828
1.050000,support,0.317000,0.009485,0.345978,0.004878
1.080000,novel,0.300800,0.009537,0.354595,0.004917
1.100000,support,0.300600,0.009538,0.352526,0.004850
1.200000,novel,0.281800,0.009595,0.362874,0.004886
1.400000,support,0.245400,0.009695,0.381447,0.004940
1.600000,novel,0.202600,0.009793,0.402050,0.004955
1.800000,novel,0.181200,0.009835,0.411882,0.004955
2.000000,support,0.163200,0.009866,0.421893,0.004986
