delta,czz_diag,cxx_diag
2.999999999999999889e-01,9.284132081233601452e-01,2.559120618043660145e-02
3.586206896551724088e-01,8.955040527274654716e-01,3.773183994804776842e-02
4.172413793103448287e-01,8.547538980950837306e-01,5.306264411874295206e-02
4.758620689655171931e-01,8.054005934429177005e-01,7.204802557679307329e-02
5.344827586206896131e-01,7.474583821363185443e-01,9.489600146928373059e-02
5.931034482758620330e-01,6.824449094043754105e-01,1.212298339931797420e-01
6.517241379310344529e-01,6.135946079837425460e-01,1.499204768854829339e-01
7.103448275862068728e-01,5.450976561808520415e-01,1.793126339439730654e-01
7.689655172413792927e-01,4.807539408251879087e-01,2.077531062433945475e-01
8.275862068965516016e-01,4.229909047270324907e-01,2.340469899654400443e-01
8.862068965517240215e-01,3.727187202481735406e-01,2.575972333465069153e-01
9.448275862068964415e-01,3.297504709342513607e-01,2.782887145709621590e-01
1.003448275862068861e+00,2.933258316407454935e-01,2.962940633812708446e-01
1.062068965517241281e+00,2.624940620124402990e-01,3.119138434055407361e-01
1.120689655172413701e+00,2.363247967689785789e-01,3.254785574913768853e-01
1.179310344827586121e+00,2.139977465981204308e-01,3.372998128911766091e-01
1.237931034482758541e+00,1.948259837980474696e-01,3.476512201136313651e-01
1.296551724137930961e+00,1.782489602131127338e-01,3.567645553919121526e-01
1.355172413793103381e+00,1.638146841369586548e-01,3.648326745222431056e-01
1.413793103448275801e+00,1.511601223859667942e-01,3.720147878241405470e-01
1.472413793103448221e+00,1.399934581637082842e-01,3.784420571971260916e-01
1.531034482758620641e+00,1.300792783661018637e-01,3.842226839085279844e-01
1.589655172413793061e+00,1.212266835152468192e-01,3.894462297100151349e-01
1.648275862068965480e+00,1.132799288801803334e-01,3.941871646292338660e-01
1.706896551724137900e+00,1.061111237933638068e-01,3.985077300872972850e-01
1.765517241379310320e+00,9.961455270257017769e-02,4.024602307891110842e-01
1.824137931034482740e+00,9.370225398478729262e-02,4.060888642311003549e-01
1.882758620689655160e+00,8.830056726789776989e-02,4.094311817468598846e-01
1.941379310344827580e+00,8.334742499691781548e-02,4.125192581386052382e-01
2.000000000000000000e+00,7.879021653103723821e-02,4.153806314547058842e-01
