delta,type,czz_diag,cxx_diag
0.400000,support,0.851333,0.079367
0.500000,novel,0.799933,0.105592
0.600000,support,0.706133,0.157017
0.700000,novel,0.585000,0.220188
0.800000,support,0.459333,0.280745
0.850000,novel,0.411000,0.311443
0.900000,support,0.358600,0.338264
0.950000,support,0.325733,0.355191
1.000000,support,0.275133,0.388801
1.050000,support,0.244933,0.396118
1.100000,support,0.225000,0.407598
1.200000,novel,0.191133,0.444359
1.400000,support,0.145333,0.458685
1.600000,novel,0.118933,0.475649
1.800000,novel,0.098933,0.486769
2.000000,support,0.082200,0.497817
