h,type,mag_z,mag_z_error,mag_x,mag_x_error
1.000000,support,0.963555,0.000950,0.264587,0.003364
1.500000,generated,0.931156,0.001437,0.352362,0.003616
2.000000,support,0.808689,0.002388,0.575602,0.003441
2.400000,generated,0.693644,0.002887,0.715194,0.003205
2.600000,generated,0.630889,0.003012,0.779553,0.002978
2.800000,support,0.573311,0.003028,0.833596,0.002679
2.900000,generated,0.544511,0.003023,0.856757,0.002526
3.000000,support,0.522311,0.002988,0.875194,0.002370
3.100000,generated,0.502711,0.002960,0.890285,0.002236
3.200000,generated,0.484311,0.002907,0.904075,0.002089
3.300000,support,0.469222,0.002857,0.915472,0.001957
3.400000,generated,0.456044,0.002828,0.924112,0.001861
3.600000,support,0.433355,0.002760,0.938546,0.001686
3.800000,generated,0.416800,0.002687,0.948543,0.001535
4.000000,support,0.402711,0.002647,0.955806,0.001425
4.500000,generated,0.377844,0.002532,0.968630,0.001190
5.000000,support,0.359000,0.002448,0.977113,0.001022
5.500000,generated,0.346667,0.002384,0.982276,0.000896
6.000000,support,0.336844,0.002325,0.986339,0.000796
6.500000,generated,0.329178,0.002290,0.988855,0.000721
7.000000,support,0.323800,0.002251,0.990800,0.000657
