H VALUES

Data Support:
[1.0, 2.0, 2.8, 3.0, 3.3, 3.6, 4.0, 5.0, 6.0, 7.0]

Additional Values:
[1.0, 1.5, 2.0, 2.4, 2.6, 2.8, 2.9, 3.0, 3.1, 3.2, 3.3, 3.4, 3.6, 3.8, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0]



MAGNETIZATION Z
0.96355546 0.00095043145
0.9311556 0.0014371881
0.808689 0.0023883116
0.69364446 0.0028873764
0.6308889 0.00301229
0.5733111 0.0030278552
0.544511 0.003022888
0.522311 0.0029878772
0.502711 0.0029595033
0.484311 0.0029074508
0.4692221 0.002856859
0.45604438 0.0028277612
0.43335545 0.002759911
0.41679993 0.0026868414
0.402711 0.0026466593
0.37784436 0.0025318805
0.35899994 0.0024483614
0.3466666 0.0023836016
0.33684438 0.002325447
0.32917774 0.0022899206
0.32379994 0.002250665



MAGNETIZATION X
0.2645872235298157 0.0033637189771980047
0.3523619771003723 0.0036158487200737
0.5756019949913025 0.0034414436668157578
0.7151941657066345 0.003205245127901435
0.7795525789260864 0.0029781379271298647
0.8335955142974854 0.0026794509030878544
0.8567569851875305 0.0025258653331547976
0.8751935362815857 0.0023703884799033403
0.8902847170829773 0.0022364608012139797
0.9040749073028564 0.0020889935549348593
0.9154724478721619 0.001957481727004051
0.9241119623184204 0.0018607120728120208
0.9385462403297424 0.0016863055061548948
0.9485425353050232 0.0015348349697887897
0.9558056592941284 0.0014245862839743495
0.9686301350593567 0.0011904395651072264
0.9771134257316589 0.0010222472483292222
0.9822755455970764 0.0008958150283433497
0.9863386750221252 0.0007957022171467543
0.9888549447059631 0.0007208272581920028
0.9908004403114319 0.0006571142585016787
