h,type,mag_z,mag_z_error,mag_x,mag_x_error
1.000000,support,0.967755,0.000877,0.249638,0.003333
1.500000,novel,0.938933,0.001347,0.332447,0.003527
2.000000,support,0.822622,0.002248,0.561066,0.003366
2.400000,novel,0.701267,0.002808,0.714696,0.003138
2.600000,novel,0.631333,0.002964,0.786246,0.002883
2.800000,support,0.575289,0.002996,0.837437,0.002613
2.900000,novel,0.550600,0.002954,0.859979,0.002428
3.000000,support,0.516289,0.002971,0.885085,0.002290
3.100000,novel,0.510156,0.002936,0.890995,0.002170
3.200000,novel,0.489844,0.002884,0.906358,0.002033
3.300000,support,0.475422,0.002824,0.917533,0.001897
3.400000,novel,0.460711,0.002814,0.926436,0.001815
3.600000,support,0.439489,0.002743,0.940121,0.001630
3.800000,novel,0.418556,0.002728,0.950393,0.001519
4.000000,support,0.403667,0.002653,0.959237,0.001377
4.500000,novel,0.379289,0.002565,0.970792,0.001152
5.000000,support,0.358311,0.002478,0.979417,0.000987
5.500000,novel,0.341600,0.002400,0.985349,0.000852
6.000000,support,0.333889,0.002341,0.988522,0.000750
6.500000,novel,0.326178,0.002323,0.990126,0.000697
7.000000,support,0.322289,0.002272,0.991688,0.000632
