stage,batch_size,learning_rate,mean_peak_fidelity,std_peak_fidelity,max_peak_fidelity,mean_best_epoch,mean_final_fidelity,mean_final_kl,num_seeds
stage1_coarse,256,0.03,0.7605515754182428,0.13471558994222765,0.8558098825979382,13.0,0.21537740360977464,1.557274367560048,2
stage1_coarse,512,0.03,0.7561519270877612,0.1787602911256728,0.8825545411496059,21.5,0.444039977567533,0.7719303858163279,2
stage1_coarse,256,0.01,0.7323337076093401,0.23096706438678583,0.8956520850679863,23.5,0.5756082336677162,0.9063905576011534,2
stage1_coarse,128,0.03,0.7253805937817055,0.1933684811772025,0.8621127580898487,7.5,0.11745340427493398,4.383293585791134,2
stage1_coarse,64,0.03,0.5539912631539002,0.021103986451285944,0.5689140350836736,3.0,0.1993980053347429,3.425006157957667,2
stage1_coarse,32,0.01,0.5426918300630759,0.03353237129641941,0.5664027971960393,6.5,0.3153810985030008,2.609978246990649,2
stage1_coarse,128,0.01,0.5276703306753688,0.0678214629106331,0.5756273470094694,21.0,0.45647441025007196,0.895707923297484,2
stage1_coarse,64,0.01,0.5151251764681587,0.04883596474304572,0.5496574183037535,14.0,0.39641709405057424,1.5034316149966376,2
stage1_coarse,32,0.003,0.5127372342600613,0.04684893673709321,0.5458644351182396,21.5,0.2645269488882732,0.8295349855111298,2
stage1_coarse,32,0.03,0.4935583489857801,0.13470150215165372,0.5888066945932288,7.5,0.30476041421488687,4.340558715614941,2
stage1_coarse,64,0.003,0.4274290172212611,0.17772546271837647,0.553099897098942,26.5,0.3945498294314474,0.6052204458048779,2
stage1_coarse,512,0.01,0.4193484834320228,0.14861575069809926,0.5244356885417781,30.0,0.4193484834320228,0.32312999225098654,2
stage1_coarse,128,0.003,0.3869021851205358,0.08110611326841738,0.44425286780831796,29.5,0.38234585360142925,0.3356765304813865,2
stage1_coarse,32,0.001,0.2985622669765294,0.02965726021589671,0.31953311678660395,29.0,0.2958642567289841,0.3582617369356794,2
stage1_coarse,64,0.001,0.2745823788403339,0.048434351474612836,0.30883063721040527,28.0,0.27055381511806004,0.4069826822767656,2
stage1_coarse,256,0.003,0.26875065411411525,0.05812844573162239,0.30985367227077965,27.5,0.2668121857551559,0.4120855479361848,2
stage1_coarse,128,0.001,0.24412461167741956,0.06542654405902146,0.2903881646511541,16.5,0.24212835732041382,0.46261715061827213,2
stage1_coarse,32,0.0003,0.23760638282680768,0.0727359768510178,0.28903848529439014,16.5,0.2299713683034812,0.4833770503919531,2
stage1_coarse,512,0.003,0.23181509925912086,0.08320345094941178,0.2906488236435722,17.5,0.2232810633867242,0.49289009290632035,2
stage1_coarse,64,0.0003,0.22725261918377188,0.09111313809402745,0.291679336985245,18.0,0.20995429622655398,0.5127806848399743,2
stage1_coarse,256,0.001,0.22314543354007782,0.09506944185399589,0.29036968055865847,17.5,0.2062462716520304,0.5175731208686464,2
stage1_coarse,128,0.0003,0.2186589061011266,0.10214332973739741,0.29088514721141384,21.0,0.19969836713409464,0.5357030970436953,2
stage1_coarse,32,0.0001,0.21833839629025403,0.09976205079376123,0.2888808189115994,19.5,0.19947552160692536,0.5342695705080489,2
stage1_coarse,512,0.001,0.2040913876554788,0.1226732618558087,0.29083448298399417,22.0,0.19276640335447412,0.5479273911505841,2
stage1_coarse,64,0.0001,0.20309295459459908,0.12187878360219613,0.28927426896247976,23.0,0.18751547265586607,0.5504925830723506,2
stage1_coarse,256,0.0003,0.17217872292928707,0.16785955185260087,0.29087335033119605,26.5,0.1673037764896421,0.6086129979726957,2
stage1_coarse,128,0.0001,0.162622158562051,0.18033982931926942,0.290141674791731,15.5,0.1594082544582522,0.7088701747008462,2
stage1_coarse,512,0.0003,0.15268386569471917,0.16582890271442766,0.26994260732081526,16.5,0.13721428442615696,0.9007198176674882,2
stage1_coarse,256,0.0001,0.1275423616366788,0.13047729519291218,0.21980374185846596,17.0,0.11279129816204189,1.1377145588233528,2
stage1_coarse,512,0.0001,0.08085093785414098,0.06432532003316305,0.12633580785158544,19.0,0.07578464576037533,1.6689813339674369,2
