h,type,mag_z,mag_z_error,mag_x,mag_x_error
1.000000,support,0.964333,0.000933,0.262176,0.003264
1.500000,novel,0.947267,0.001238,0.310387,0.003513
2.000000,support,0.831978,0.002255,0.541445,0.003452
2.400000,novel,0.710867,0.002835,0.697065,0.003256
2.600000,novel,0.643044,0.002988,0.768639,0.002996
2.800000,support,0.586622,0.003034,0.820889,0.002717
2.900000,novel,0.559222,0.003006,0.845302,0.002551
3.000000,support,0.544044,0.003001,0.857430,0.002442
3.100000,novel,0.517800,0.002969,0.879185,0.002300
3.200000,novel,0.502378,0.002942,0.890094,0.002184
3.300000,support,0.485311,0.002922,0.902302,0.002080
3.400000,novel,0.469289,0.002886,0.913498,0.001983
3.600000,support,0.442978,0.002825,0.929380,0.001801
3.800000,novel,0.422733,0.002773,0.941991,0.001658
4.000000,support,0.407333,0.002708,0.950361,0.001531
4.500000,novel,0.381733,0.002562,0.965742,0.001261
5.000000,support,0.365978,0.002519,0.972467,0.001125
5.500000,novel,0.349444,0.002405,0.978648,0.000976
6.000000,support,0.338244,0.002357,0.983797,0.000888
6.500000,novel,0.337444,0.002317,0.984901,0.000822
7.000000,support,0.329200,0.002302,0.986402,0.000773
