delta,type,czz_diag,czz_diag_error,cxx_diag,cxx_diag_error
0.400000,support,0.901100,0.003120,0.086092,0.005056
0.500000,novel,0.883300,0.003372,0.096445,0.005215
0.600000,support,0.840100,0.003852,0.147100,0.011713
0.700000,novel,0.750600,0.004628,0.202416,0.005748
0.800000,support,0.598200,0.005405,0.321879,0.006992
0.850000,novel,0.510100,0.005626,0.388086,0.007568
0.900000,support,0.440300,0.005749,0.436637,0.007987
0.920000,novel,0.417100,0.005736,0.448791,0.006952
0.950000,support,0.375700,0.005681,0.477853,0.008103
0.980000,novel,0.353100,0.005687,0.504531,0.008980
1.000000,support,0.330400,0.005657,0.525185,0.009811
1.020000,novel,0.306200,0.005649,0.530127,0.007622
1.050000,support,0.281800,0.005595,0.540730,0.007227
1.080000,novel,0.275400,0.005571,0.545475,0.007104
1.100000,support,0.265500,0.005559,0.569455,0.007881
1.200000,novel,0.217700,0.005411,0.598388,0.008101
1.400000,support,0.157800,0.005283,0.623168,0.007347
1.600000,novel,0.133100,0.005265,0.642034,0.006772
1.800000,novel,0.109000,0.005069,0.665142,0.006799
2.000000,support,0.098300,0.004985,0.663835,0.006622
