delta,czz_diag,cxx_diag
2.999999999999999889e-01,9.592916941945688336e-01,1.057816543248838413e-02
3.586206896551724088e-01,9.411701852116917122e-01,1.556582710068605581e-02
4.172413793103448287e-01,9.189756155308681507e-01,2.193278423319875922e-02
4.758620689655171931e-01,8.918043913763898933e-01,3.013389723298035699e-02
5.344827586206896131e-01,8.581197228778784103e-01,4.092494585011402508e-02
5.931034482758620330e-01,8.155446298631928714e-01,5.548596789039286076e-02
6.517241379310344529e-01,7.609706786175106652e-01,7.543415175084092206e-02
7.103448275862068728e-01,6.916477540106407140e-01,1.024157128361312119e-01
7.689655172413792927e-01,6.078351897335083631e-01,1.369260355115822225e-01
8.275862068965516016e-01,5.155387320744313495e-01,1.768655796862789176e-01
8.862068965517240215e-01,4.252126543977247652e-01,2.177394467017517432e-01
9.448275862068964415e-01,3.459877125890192806e-01,2.551155296794881955e-01
1.003448275862068861e+00,2.816484386386202687e-01,2.867082845996314910e-01
1.062068965517241281e+00,2.314648683868473222e-01,3.123289009889866907e-01
1.120689655172413701e+00,1.928134483009674438e-01,3.328244296997084906e-01
1.179310344827586121e+00,1.629241596226131961e-01,3.492650785508927824e-01
1.237931034482758541e+00,1.395229788035518836e-01,3.625961965095089168e-01
1.296551724137930961e+00,1.209113653555567436e-01,3.735571957763118012e-01
1.355172413793103381e+00,1.058645920610858243e-01,3.827003328126261650e-01
1.413793103448275801e+00,9.350683301955767246e-02,3.904325019232900429e-01
1.472413793103448221e+00,8.320876650896498472e-02,3.970540265342707431e-01
1.531034482758620641e+00,7.451318396170915348e-02,4.027886051725683147e-01
1.589655172413793061e+00,6.708331026574118616e-02,4.078049518811842633e-01
1.648275862068965480e+00,6.066740516206006739e-02,4.122320663131552321e-01
1.706896551724137900e+00,5.507451076549524371e-02,4.161699553597195123e-01
1.765517241379310320e+00,5.015771241999333885e-02,4.196971936000450376e-01
1.824137931034482740e+00,4.580245819720725475e-02,4.228763027130146845e-01
1.882758620689655160e+00,4.191830505508039456e-02,4.257576224198113546e-01
1.941379310344827580e+00,3.843300900336125980e-02,4.283821302897675154e-01
2.000000000000000000e+00,3.528823743740382851e-02,4.307835216658721378e-01
