delta,czz_diag,cxx_diag
2.999999999999999889e-01,9.592916941945724973e-01,1.057816543248842750e-02
3.586206896551724088e-01,9.411701852116940437e-01,1.556582710068606622e-02
4.172413793103448287e-01,9.189756155308688168e-01,2.193278423319882167e-02
4.758620689655171931e-01,8.918043913763902264e-01,3.013389723298033618e-02
5.344827586206896131e-01,8.581197228778779662e-01,4.092494585011400426e-02
5.931034482758620330e-01,8.155446298631944257e-01,5.548596789039280525e-02
6.517241379310344529e-01,7.609706786175103321e-01,7.543415175084078328e-02
7.103448275862068728e-01,6.916477540106419353e-01,1.024157128361311425e-01
7.689655172413792927e-01,6.078351897335090293e-01,1.369260355115818617e-01
8.275862068965516016e-01,5.155387320744339030e-01,1.768655796862780016e-01
8.862068965517240215e-01,4.252126543977250428e-01,2.177394467017505775e-01
9.448275862068964415e-01,3.459877125890196692e-01,2.551155296794884175e-01
1.003448275862068861e+00,2.816484386386199912e-01,2.867082845996312690e-01
1.062068965517241281e+00,2.314648683868477386e-01,3.123289009889878010e-01
1.120689655172413701e+00,1.928134483009670275e-01,3.328244296997080465e-01
1.179310344827586121e+00,1.629241596226136124e-01,3.492650785508936151e-01
1.237931034482758541e+00,1.395229788035517726e-01,3.625961965095102491e-01
1.296551724137930961e+00,1.209113653555568824e-01,3.735571957763111905e-01
1.355172413793103381e+00,1.058645920610857966e-01,3.827003328126263870e-01
1.413793103448275801e+00,9.350683301955771409e-02,3.904325019232892102e-01
1.472413793103448221e+00,8.320876650896519289e-02,3.970540265342710207e-01
1.531034482758620641e+00,7.451318396170905634e-02,4.027886051725667604e-01
1.589655172413793061e+00,6.708331026574118616e-02,4.078049518811841523e-01
1.648275862068965480e+00,6.066740516206008821e-02,4.122320663131553431e-01
1.706896551724137900e+00,5.507451076549513963e-02,4.161699553597194567e-01
1.765517241379310320e+00,5.015771241999339436e-02,4.196971936000455372e-01
1.824137931034482740e+00,4.580245819720712985e-02,4.228763027130139074e-01
1.882758620689655160e+00,4.191830505508040150e-02,4.257576224198134640e-01
1.941379310344827580e+00,3.843300900336123205e-02,4.283821302897664607e-01
2.000000000000000000e+00,3.528823743740385627e-02,4.307835216658716937e-01
