delta,type,czz_diag,czz_diag_error,cxx_diag,cxx_diag_error
0.400000,support,0.655000,0.007557,0.174801,0.003798
0.500000,novel,0.586800,0.008098,0.208537,0.004065
0.600000,support,0.526200,0.008504,0.238834,0.004265
0.700000,novel,0.463600,0.008861,0.270873,0.004455
0.800000,support,0.406800,0.009136,0.300678,0.004610
0.850000,novel,0.408000,0.009130,0.298104,0.004601
0.900000,support,0.394400,0.009190,0.306734,0.004651
0.920000,novel,0.367000,0.009303,0.319195,0.004698
0.950000,support,0.361000,0.009326,0.324158,0.004733
0.980000,novel,0.353000,0.009357,0.328361,0.004753
1.000000,support,0.345800,0.009384,0.330362,0.004760
1.020000,novel,0.310800,0.009505,0.348376,0.004824
1.050000,support,0.348200,0.009375,0.330714,0.004773
1.080000,novel,0.326600,0.009452,0.341015,0.004816
1.100000,support,0.321600,0.009469,0.344669,0.004846
1.200000,novel,0.309200,0.009510,0.348675,0.004855
1.400000,support,0.263600,0.009647,0.375976,0.005007
1.600000,novel,0.236000,0.009718,0.390888,0.005098
1.800000,novel,0.200000,0.009798,0.411538,0.005207
2.000000,support,0.185600,0.009827,0.421789,0.005299
