delta,czz_diag,cxx_diag
2.999999999999999889e-01,7.624928516630237185e-01,1.187535741684885987e-01
3.586206896551724088e-01,7.020577659865352427e-01,1.489711170067322121e-01
4.172413793103448287e-01,6.464780630000730444e-01,1.767609684999635333e-01
4.758620689655171931e-01,5.963847119769676297e-01,2.018076440115169068e-01
5.344827586206896131e-01,5.517058073508385174e-01,2.241470963245807968e-01
5.931034482758620330e-01,5.120351460322445369e-01,2.439824269838777315e-01
6.517241379310344529e-01,4.768421290989044437e-01,2.615789354505477227e-01
7.103448275862068728e-01,4.455804971838622230e-01,2.772097514080690828e-01
7.689655172413792927e-01,4.177390895009377991e-01,2.911304552495311837e-01
8.275862068965516016e-01,3.928616116607504538e-01,3.035691941696245788e-01
8.862068965517240215e-01,3.705508276316396010e-01,3.147245861841802550e-01
9.448275862068964415e-01,3.504655198541270500e-01,3.247672400729365028e-01
1.003448275862068861e+00,3.323145501383129585e-01,3.338427249308434375e-01
1.062068965517241281e+00,3.158501733192246030e-01,3.420749133403875319e-01
1.120689655172413701e+00,3.008616049053292052e-01,3.495691975473356750e-01
1.179310344827586121e+00,2.871692533002568881e-01,3.564153733498715004e-01
1.237931034482758541e+00,2.746197345310577020e-01,3.626901327344709824e-01
1.296551724137930961e+00,2.630816504854013305e-01,3.684591747572991127e-01
1.355172413793103381e+00,2.524420544269871947e-01,3.737789727865063472e-01
1.413793103448275801e+00,2.426035098952745717e-01,3.786982450523630472e-01
1.472413793103448221e+00,2.334816500808787887e-01,3.832591749595605224e-01
1.531034482758620641e+00,2.250031536780752739e-01,3.874984231609621133e-01
1.589655172413793061e+00,2.171040647038738891e-01,3.914479676480632220e-01
1.648275862068965480e+00,2.097283952996736867e-01,3.951358023501631012e-01
1.706896551724137900e+00,2.028269610016905089e-01,3.985865194991545235e-01
1.765517241379310320e+00,1.963564070088959779e-01,4.018217964955517196e-01
1.824137931034482740e+00,1.902783915673597337e-01,4.048608042163202025e-01
1.882758620689655160e+00,1.845588988544275000e-01,4.077205505727862778e-01
1.941379310344827580e+00,1.791676588644723900e-01,4.104161705677639160e-01
2.000000000000000000e+00,1.740776559556981296e-01,4.129611720221512128e-01
