h,type,mz,mx
1.000000,support,0.960778,0.275800
1.500000,novel,0.937000,0.340438
2.000000,support,0.830733,0.539685
2.400000,novel,0.694422,0.716694
2.600000,novel,0.636978,0.780864
2.800000,support,0.581911,0.832954
2.900000,novel,0.562556,0.847825
3.000000,support,0.540067,0.867522
3.100000,novel,0.527267,0.875758
3.200000,novel,0.506333,0.893896
3.300000,support,0.491867,0.904011
3.400000,novel,0.482667,0.910448
3.600000,support,0.455222,0.929510
3.800000,novel,0.436622,0.940978
4.000000,support,0.419356,0.950371
4.500000,novel,0.393289,0.964616
5.000000,support,0.365556,0.977104
5.500000,novel,0.348889,0.982728
6.000000,support,0.343533,0.985726
6.500000,novel,0.332889,0.989054
7.000000,support,0.329600,0.989219
