h,mag_z,mag_x
1.000000000000000000e+00,9.671939833252256591e-01,2.530200298996597708e-01
1.206896551724137900e+00,9.508264434732575099e-01,3.077523061560084594e-01
1.413793103448275801e+00,9.296264966270911811e-01,3.649718820282616960e-01
1.620689655172413701e+00,9.017875535331332237e-01,4.263684194541814687e-01
1.827586206896551602e+00,8.647183138767196020e-01,4.937786801677283011e-01
2.034482758620689502e+00,8.160429173216892096e-01,5.676900589402484876e-01
2.241379310344827402e+00,7.561322694154655188e-01,6.450112992825987046e-01
2.448275862068965303e+00,6.902228325320685087e-01,7.187681611595126974e-01
2.655172413793103203e+00,6.263911346841548600e-01,7.818891137415319159e-01
2.862068965517241104e+00,5.707431548358193885e-01,8.313294916255494771e-01
3.068965517241379448e+00,5.253058007063295953e-01,8.681195196383082457e-01
3.275862068965517349e+00,4.892965591887871168e-01,8.950152019614705523e-01
3.482758620689655249e+00,4.609395097409691999e-01,9.147537700756265266e-01
3.689655172413793149e+00,4.384649625578860843e-01,9.294573580954006431e-01
3.896551724137931050e+00,4.204332970184833096e-01,9.406232285459645848e-01
4.103448275862069394e+00,4.057585762227923776e-01,9.492739540000019183e-01
4.310344827586206407e+00,3.936432329020371212e-01,9.561051313952881880e-01
4.517241379310345195e+00,3.835041951209109401e-01,9.615944513364018675e-01
4.724137931034482207e+00,3.749126958031238077e-01,9.660751152932298691e-01
4.931034482758620996e+00,3.675500266030847785e-01,9.697837451761819327e-01
5.137931034482758896e+00,3.611762286476950523e-01,9.728914905903629506e-01
5.344827586206896797e+00,3.556081919119268853e-01,9.755243710418592951e-01
5.551724137931034697e+00,3.507043210386827647e-01,9.777767516165256634e-01
5.758620689655172598e+00,3.463537213547814853e-01,9.797204096945530960e-01
5.965517241379310498e+00,3.424684939512143145e-01,9.814107364192375949e-01
6.172413793103448398e+00,3.389781815276166066e-01,9.828910488052273742e-01
6.379310344827586299e+00,3.358257156808636679e-01,9.841956364406305724e-01
6.586206896551724199e+00,3.329644236927856715e-01,9.853519472461849116e-01
6.793103448275862100e+00,3.303557915825915403e-01,9.863821783781043795e-01
7.000000000000000000e+00,3.279677732911532306e-01,9.873044499764048743e-01
