h,chi_F
5.000000000000000000e-01,1.334208131920189278e+00
5.204081632653061451e-01,1.372935677735017901e+00
5.408163265306122902e-01,1.415987062745944769e+00
5.612244897959183243e-01,1.464125814661723979e+00
5.816326530612244694e-01,1.518336183571827647e+00
6.020408163265306145e-01,1.579897368651273393e+00
6.224489795918367596e-01,1.650481013328349622e+00
6.428571428571427937e-01,1.732277097164876212e+00
6.632653061224489388e-01,1.828152740150142952e+00
6.836734693877550839e-01,1.941845803749801203e+00
7.040816326530612290e-01,2.078188518594592527e+00
7.244897959183673741e-01,2.243342155391931492e+00
7.448979591836735192e-01,2.444996242986465784e+00
7.653061224489795533e-01,2.692436649186805031e+00
7.857142857142856984e-01,2.996306290933595129e+00
8.061224489795917325e-01,3.367765701530118783e+00
8.265306122448978776e-01,3.816626260503698909e+00
8.469387755102040227e-01,4.347954340122118566e+00
8.673469387755101678e-01,4.956818664373016325e+00
8.877551020408163129e-01,5.621590990358653173e+00
9.081632653061224580e-01,6.297782998211908456e+00
9.285714285714286031e-01,6.916491245088379536e+00
9.489795918367346372e-01,7.392475177094664396e+00
9.693877551020407823e-01,7.644007922205148908e+00
9.897959183673469274e-01,7.619074217384669723e+00
1.010204081632652962e+00,7.315044850643510621e+00
1.030612244897959107e+00,6.779901115495560404e+00
1.051020408163265252e+00,6.094209028564297803e+00
1.071428571428571397e+00,5.344902723379284737e+00
1.091836734693877542e+00,4.604208518975620557e+00
1.112244897959183465e+00,3.920169827454016875e+00
1.132653061224489832e+00,3.317309354479433647e+00
1.153061224489795755e+00,2.802493511336340504e+00
1.173469387755102122e+00,2.371709320250430242e+00
1.193877551020408045e+00,2.015535626194089325e+00
1.214285714285714191e+00,1.722759069566115464e+00
1.234693877551020336e+00,1.482411024948994127e+00
1.255102040816326481e+00,1.284723322889971264e+00
1.275510204081632626e+00,1.121442559398876382e+00
1.295918367346938549e+00,9.858097688608211673e-01
1.316326530612244916e+00,8.723920988675540888e-01
1.336734693877550839e+00,7.768686895539668180e-01
1.357142857142857206e+00,6.958209298641674367e-01
1.377551020408163129e+00,6.265480547790698296e-01
1.397959183673469274e+00,5.669139532901475986e-01
1.418367346938775420e+00,5.152239981304004290e-01
1.438775510204081565e+00,4.701279323956013556e-01
1.459183673469387710e+00,4.305441781770964482e-01
1.479591836734693855e+00,3.956012163815249005e-01
1.500000000000000000e+00,3.645923161018788106e-01
