h,chi_F
2.000000000000000000e+00,4.629382777818430439e-01
2.040816326530612290e+00,4.869814899687478493e-01
2.081632653061224580e+00,5.139394685945051222e-01
2.122448979591836871e+00,5.438693166028989445e-01
2.163265306122449161e+00,5.766669113253379830e-01
2.204081632653061007e+00,6.120031817749844727e-01
2.244897959183673297e+00,6.492576087165125021e-01
2.285714285714285587e+00,6.874601448881195731e-01
2.326530612244897878e+00,7.252582354318874991e-01
2.367346938775510168e+00,7.609294900655032556e-01
2.408163265306122458e+00,7.924597906477449660e-01
2.448979591836734748e+00,8.176981036716111095e-01
2.489795918367347038e+00,8.345817417556480322e-01
2.530612244897959329e+00,8.414022336716993067e-01
2.571428571428571175e+00,8.370603219251183669e-01
2.612244897959183465e+00,8.212496246841630709e-01
2.653061224489795755e+00,7.945198649026755655e-01
2.693877551020408045e+00,7.582010432631574037e-01
2.734693877551020336e+00,7.142082947819954342e-01
2.775510204081632626e+00,6.647776562769280861e-01
2.816326530612244916e+00,6.121941864368307673e-01
2.857142857142857206e+00,5.585645024729399832e-01
2.897959183673469497e+00,5.056635156771288608e-01
2.938775510204081343e+00,4.548609236776319231e-01
2.979591836734694077e+00,4.071150724265342191e-01
3.020408163265305923e+00,3.630131861444312324e-01
3.061224489795918213e+00,3.228363865994632320e-01
3.102040816326530503e+00,2.866321337006121905e-01
3.142857142857142794e+00,2.542825679181506815e-01
3.183673469387755084e+00,2.255626256805743357e-01
3.224489795918366930e+00,2.001858096473372317e-01
3.265306122448979664e+00,1.778379951292118344e-01
3.306122448979591510e+00,1.582009308650895729e-01
3.346938775510204245e+00,1.409675270805760272e-01
3.387755102040816091e+00,1.258509796991117424e-01
3.428571428571428381e+00,1.125894933261350483e-01
3.469387755102040671e+00,1.009480111284667830e-01
3.510204081632652962e+00,9.071801353846027649e-02
3.551020408163265252e+00,8.171615073819180064e-02
3.591836734693877098e+00,7.378224103466934913e-02
3.632653061224489832e+00,6.677698982054941501e-02
3.673469387755101678e+00,6.057965553100782413e-02
3.714285714285714413e+00,5.508580025256107349e-02
3.755102040816326259e+00,5.020520133072771396e-02
3.795918367346938549e+00,4.585996032492535568e-02
3.836734693877550839e+00,4.198282034074612978e-02
3.877551020408163129e+00,3.851568755514327841e-02
3.918367346938775420e+00,3.540834383115350203e-02
3.959183673469387710e+00,3.261733305707047170e-02
4.000000000000000000e+00,3.010500244388846641e-02
