h,chiF_fdproj,chiF_overlap,gap_naive_E1-E0,gap_even_E1p-E0p,gap_even_odd_E0m-E0p,E0_plus,E1_plus,E0_minus
1.000000000000000000e+00,2.766125501360457983e-01,2.766419120447949354e-01,5.513778447152617446e-07,5.584383883359230083e+00,-6.129315339551126840e-01,-3.299427518526758263e+01,-2.740989130190835255e+01,-3.360720671922269531e+01
1.030303030303030276e+00,2.784277113800922576e-01,2.784584127724087921e-01,8.748700679461762775e-07,6.090577342858370713e+00,-7.617806471881678476e-01,-3.323535429592666191e+01,-2.714477695306829119e+01,-3.399713494311482975e+01
1.060606060606060552e+00,2.803234453987997754e-01,2.803554695063326108e-01,1.368311686178458331e-06,3.532448172773783313e-01,3.080012954959983063e-01,-3.075751597883870403e+01,-3.040427116156132570e+01,-3.044951468334270572e+01
1.090909090909090828e+00,2.823033000859762054e-01,2.823367526438858022e-01,2.111103611923681456e-06,7.870554006981258510e-01,-9.383271312520236052e-01,-3.053981443234314241e+01,-2.975275903164501656e+01,-3.147814156359516602e+01
1.121212121212121104e+00,2.843714429901372243e-01,2.844063069495916807e-01,3.215324689165299787e-06,6.778646779309333681e+00,-1.055581018991489373e-01,-3.414066935944751435e+01,-2.736202258013818067e+01,-3.424622746134666329e+01
1.151515151515151603e+00,2.865322002216240671e-01,2.865686901110109375e-01,4.837416753389334190e-06,6.000510252268902889e+00,-3.647749004882072654e-01,-3.391292061624370291e+01,-2.791241036397480002e+01,-3.427769551673191017e+01
1.181818181818181879e+00,2.887910586812020841e-01,2.888292425229366245e-01,7.193427293827880931e-06,6.670852967982384030e+00,-6.851027170444012881e-02,-3.443340676613414786e+01,-2.776255379815176383e+01,-3.450191703783858799e+01
1.212121212121212155e+00,2.911539097314916336e-01,2.911938778993317101e-01,1.057868978904252799e-05,3.642691172233767816e+00,2.593290329588171517e-01,-3.305012897226078650e+01,-2.940743780002701868e+01,-3.279079993930196935e+01
1.242424242424242431e+00,2.936275729989995531e-01,2.936694230015746143e-01,1.539300244957075847e-05,1.075027441879768730e+00,-3.423146640988946388e+00,-3.108184214038465853e+01,-3.000681469850488980e+01,-3.450498878137360492e+01
1.272727272727272707e+00,2.962199901341822095e-01,2.962638614434354167e-01,2.217254228753517964e-05,6.914939530009590385e+00,3.240860889394898692e+00,-3.517127797134701694e+01,-2.825633844133742656e+01,-3.193041708195211825e+01
1.303030303030302983e+00,2.989402886606104537e-01,2.989863827629335447e-01,3.162995743366536772e-05,6.850427716630520081e+00,2.712050519588302677e-01,-3.540820810121159212e+01,-2.855778038458107204e+01,-3.513700304925276185e+01
1.333333333333333481e+00,3.017990009335426715e-01,3.018474421523364981e-01,4.470430266678704356e-05,5.725985095277827952e+00,-3.442110620983385161e-01,-3.494991263308386209e+01,-2.922392753780603414e+01,-3.529412369518220061e+01
1.363636363636363757e+00,3.048085472939948137e-01,3.048596082244614536e-01,6.262270833445882090e-05,6.392786616004197953e+00,5.324056310229181577e-01,-3.539323662962081585e+01,-2.900045001361661789e+01,-3.486083099859789769e+01
1.393939393939394034e+00,3.079831010906490807e-01,3.080370127861442597e-01,8.697591078288269273e-05,6.128298220223506121e+00,1.173314880567581042e+00,-3.543745569586191380e+01,-2.930915747563840767e+01,-3.426414081529433275e+01
