h,type,mz,mx
1.000000,support,0.966237,0.257431
1.500000,novel,0.952850,0.300276
1.800000,novel,0.910125,0.399235
2.100000,novel,0.811037,0.558998
2.400000,novel,0.644087,0.740738
2.600000,novel,0.561063,0.813957
2.800000,novel,0.508400,0.857862
2.900000,novel,0.486500,0.874220
3.000000,support,0.468225,0.887329
3.100000,novel,0.461725,0.891041
3.300000,novel,0.438863,0.906087
3.400000,novel,0.427925,0.913102
3.600000,novel,0.408287,0.923150
3.800000,novel,0.386725,0.935634
4.000000,novel,0.377513,0.938985
4.500000,novel,0.329937,0.961596
5.000000,novel,0.291300,0.976552
5.500000,novel,0.270100,0.984249
6.000000,novel,0.252988,0.990503
6.500000,novel,0.245100,0.993332
7.000000,support,0.236213,0.995323
