h,chi_F
1.000000000000000000e+00,2.922390699386596680e-01
1.086956521739130377e+00,2.969155609607696533e-01
1.173913043478260754e+00,2.981031239032745361e-01
1.260869565217391353e+00,2.976177632808685303e-01
1.347826086956521729e+00,2.925337255001068115e-01
1.434782608695652106e+00,2.948487699031829834e-01
1.521739130434782705e+00,3.049392700195312500e-01
1.608695652173913082e+00,3.199227750301361084e-01
1.695652173913043459e+00,3.420433998107910156e-01
1.782608695652173836e+00,3.739725053310394287e-01
1.869565217391304213e+00,4.109004735946655273e-01
1.956521739130434812e+00,4.576933681964874268e-01
2.043478260869565410e+00,5.068603754043579102e-01
2.130434782608695343e+00,5.632035732269287109e-01
2.217391304347826164e+00,6.199375987052917480e-01
2.304347826086956541e+00,6.765612959861755371e-01
2.391304347826086918e+00,7.186130285263061523e-01
2.478260869565217295e+00,7.448912262916564941e-01
2.565217391304347672e+00,7.529850006103515625e-01
2.652173913043478493e+00,7.390048503875732422e-01
2.739130434782608425e+00,6.899508237838745117e-01
2.826086956521739246e+00,6.222088932991027832e-01
2.913043478260869623e+00,5.407999753952026367e-01
3.000000000000000000e+00,4.503623843193054199e-01
3.086956521739130377e+00,3.638535737991333008e-01
3.173913043478260754e+00,2.861119806766510010e-01
3.260869565217391131e+00,2.203290164470672607e-01
3.347826086956521507e+00,1.662550866603851318e-01
3.434782608695652328e+00,1.246269345283508301e-01
3.521739130434782705e+00,9.339312463998794556e-02
3.608695652173913082e+00,6.931915134191513062e-02
3.695652173913043459e+00,5.265905335545539856e-02
3.782608695652173836e+00,4.107479006052017212e-02
3.869565217391304213e+00,3.256781771779060364e-02
3.956521739130434590e+00,2.661203593015670776e-02
4.043478260869564522e+00,2.217490784823894501e-02
4.130434782608695343e+00,1.897867023944854736e-02
4.217391304347826164e+00,1.654185354709625244e-02
4.304347826086956985e+00,1.461112499237060547e-02
4.391304347826086918e+00,1.300472300499677658e-02
4.478260869565216851e+00,1.184745412319898605e-02
4.565217391304347672e+00,1.075719296932220459e-02
4.652173913043478493e+00,9.812986478209495544e-03
4.739130434782608425e+00,9.066142141819000244e-03
4.826086956521739246e+00,8.331377990543842316e-03
4.913043478260869179e+00,7.677146233618259430e-03
5.000000000000000000e+00,7.082693744450807571e-03
5.086956521739129933e+00,6.567797623574733734e-03
5.173913043478260754e+00,6.065676454454660416e-03
5.260869565217391575e+00,5.609809886664152145e-03
5.347826086956521507e+00,5.191036965698003769e-03
5.434782608695652328e+00,4.778472241014242172e-03
5.521739130434782261e+00,4.419906530529260635e-03
5.608695652173913082e+00,4.098379984498023987e-03
5.695652173913043015e+00,3.771618939936161041e-03
5.782608695652173836e+00,3.490119474008679390e-03
5.869565217391304657e+00,3.249729517847299576e-03
5.956521739130434590e+00,2.992739900946617126e-03
6.043478260869565410e+00,2.772139152511954308e-03
6.130434782608695343e+00,2.559914020821452141e-03
6.217391304347826164e+00,2.361163729801774025e-03
6.304347826086956097e+00,2.178660128265619278e-03
6.391304347826086918e+00,2.020650077611207962e-03
6.478260869565216851e+00,1.881135976873338223e-03
6.565217391304347672e+00,1.740376115776598454e-03
6.652173913043478493e+00,1.615104731172323227e-03
6.739130434782608425e+00,1.498490571975708008e-03
6.826086956521739246e+00,1.393165439367294312e-03
6.913043478260869179e+00,1.295204157941043377e-03
7.000000000000000000e+00,1.210367190651595592e-03
