h,chi_F
1.000000000000000000e+00,1.584525274305434439e-01
1.030303030303030276e+00,1.600284948110770045e-01
1.060606060606060552e+00,1.617376515718286223e-01
1.090909090909090828e+00,1.635923112137883384e-01
1.121212121212121104e+00,1.656056373758837963e-01
1.151515151515151603e+00,1.677916159799098805e-01
1.181818181818181879e+00,1.701650076402086709e-01
1.212121212121212155e+00,1.727412763836262688e-01
1.242424242424242431e+00,1.755364902758243528e-01
1.272727272727272707e+00,1.785671888643287075e-01
1.303030303030302983e+00,1.818502118241928089e-01
1.333333333333333481e+00,1.854024825674818744e-01
1.363636363636363757e+00,1.892407402341165779e-01
1.393939393939394034e+00,1.933812130280328223e-01
1.424242424242424310e+00,1.978392258721891062e-01
1.454545454545454586e+00,2.026287357288341917e-01
1.484848484848484862e+00,2.077617886298783467e-01
1.515151515151515138e+00,2.132478940164051762e-01
1.545454545454545414e+00,2.190933143780300352e-01
1.575757575757575690e+00,2.253002713565445125e-01
1.606060606060605966e+00,2.318660745005204360e-01
1.636363636363636243e+00,2.387821843497189289e-01
1.666666666666666741e+00,2.460332293890697686e-01
1.696969696969697017e+00,2.535960051030093365e-01
1.727272727272727293e+00,2.614384933087623430e-01
1.757575757575757569e+00,2.695189512319791092e-01
1.787878787878787845e+00,2.777851303121769422e-01
1.818181818181818343e+00,2.861736949268285368e-01
1.848484848484848619e+00,2.946099189354455250e-01
1.878787878787878896e+00,3.030077420415796530e-01
1.909090909090909172e+00,3.112702655368785321e-01
1.939393939393939448e+00,3.192907586723616742e-01
1.969696969696969724e+00,3.269542283222071077e-01
2.000000000000000000e+00,3.341395777576174897e-01
2.030303030303030276e+00,3.407223434179830202e-01
2.060606060606060552e+00,3.465779550343577875e-01
2.090909090909090828e+00,3.515854155700382511e-01
2.121212121212121104e+00,3.556312497242265502e-01
2.151515151515151381e+00,3.586135269681575144e-01
2.181818181818181657e+00,3.604457340829052558e-01
2.212121212121211933e+00,3.610602594401821630e-01
2.242424242424242209e+00,3.604112576237463728e-01
2.272727272727272485e+00,3.584766939825665411e-01
2.303030303030302761e+00,3.552594192114106875e-01
2.333333333333333481e+00,3.507871919062627297e-01
2.363636363636363757e+00,3.451116438860944990e-01
2.393939393939394034e+00,3.383062609478245664e-01
2.424242424242424310e+00,3.304635213828598372e-01
2.454545454545454586e+00,3.216913888898528251e-01
2.484848484848484862e+00,3.121093908536042294e-01
2.515151515151515138e+00,3.018445232459425753e-01
2.545454545454545414e+00,2.910272133110288761e-01
2.575757575757575690e+00,2.797875420119375622e-01
2.606060606060606410e+00,2.682518865078605264e-01
2.636363636363636687e+00,2.565400940083276127e-01
2.666666666666666963e+00,2.447632487510962296e-01
2.696969696969697239e+00,2.330220475340083752e-01
2.727272727272727515e+00,2.214057611097806633e-01
2.757575757575757791e+00,2.099917283878033891e-01
2.787878787878788067e+00,1.988453114703373492e-01
2.818181818181818343e+00,1.880202284645634547e-01
2.848484848484848619e+00,1.775591787203280869e-01
2.878787878787878896e+00,1.674946781785706107e-01
2.909090909090909172e+00,1.578500307321858975e-01
2.939393939393939448e+00,1.486403714138111454e-01
2.969696969696969724e+00,1.398737289806157857e-01
3.000000000000000000e+00,1.315520669561370259e-01
3.030303030303030276e+00,1.236722727714126696e-01
3.060606060606060552e+00,1.162270744161649910e-01
3.090909090909090828e+00,1.092058719545811185e-01
3.121212121212121104e+00,1.025954776484141184e-01
3.151515151515151381e+00,9.638076371238285533e-02
3.181818181818181657e+00,9.054522014671223529e-02
3.212121212121212377e+00,8.507142783693311117e-02
3.242424242424242653e+00,7.994145370687920360e-02
3.272727272727272929e+00,7.513717553322167564e-02
3.303030303030303205e+00,7.064054444997870663e-02
3.333333333333333481e+00,6.643379309578953396e-02
3.363636363636363757e+00,6.249959684049913311e-02
3.393939393939394034e+00,5.882119529391907631e-02
3.424242424242424310e+00,5.538248032838181956e-02
3.454545454545454586e+00,5.216805637886051672e-02
3.484848484848484862e+00,4.916327805833856784e-02
3.515151515151515138e+00,4.635426933938351091e-02
3.545454545454545414e+00,4.372792815339580919e-02
3.575757575757575690e+00,4.127191944958688574e-02
3.606060606060605966e+00,3.897465948384647855e-02
3.636363636363636243e+00,3.682529343561340152e-02
3.666666666666666963e+00,3.481366826149616400e-02
3.696969696969697239e+00,3.293030221941693064e-02
3.727272727272727515e+00,3.116635228261368032e-02
3.757575757575757791e+00,2.951358038605812403e-02
3.787878787878788067e+00,2.796431927449041788e-02
3.818181818181818343e+00,2.651143852182389835e-02
3.848484848484848619e+00,2.514831117647641640e-02
3.878787878787878896e+00,2.386878136866518035e-02
3.909090909090909172e+00,2.266713310200777626e-02
3.939393939393939448e+00,2.153806041280623140e-02
3.969696969696969724e+00,2.047663899523682537e-02
4.000000000000000000e+00,1.947829933783454953e-02
