h,chi_F
1.000000000000000000e+00,2.280453145503997803e-01
1.030303030303030276e+00,2.324817925691604614e-01
1.060606060606060552e+00,2.360281348228454590e-01
1.090909090909090828e+00,2.411039769649505615e-01
1.121212121212121104e+00,2.457275837659835815e-01
1.151515151515151603e+00,2.504702806472778320e-01
1.181818181818181879e+00,2.556869089603424072e-01
1.212121212121212155e+00,2.629864215850830078e-01
1.242424242424242431e+00,2.706024646759033203e-01
1.272727272727272707e+00,2.802379727363586426e-01
1.303030303030302983e+00,2.896169126033782959e-01
1.333333333333333481e+00,2.981501221656799316e-01
1.363636363636363757e+00,3.091934323310852051e-01
1.393939393939394034e+00,3.206406533718109131e-01
1.424242424242424310e+00,3.318594396114349365e-01
1.454545454545454586e+00,3.442978560924530029e-01
1.484848484848484862e+00,3.554524183273315430e-01
1.515151515151515138e+00,3.647711575031280518e-01
1.545454545454545414e+00,3.766786754131317139e-01
1.575757575757575690e+00,3.869225382804870605e-01
1.606060606060605966e+00,3.960613906383514404e-01
1.636363636363636243e+00,4.028989672660827637e-01
1.666666666666666741e+00,4.082163572311401367e-01
1.696969696969697017e+00,4.151371121406555176e-01
1.727272727272727293e+00,4.219828844070434570e-01
1.757575757575757569e+00,4.305609762668609619e-01
1.787878787878787845e+00,4.353053569793701172e-01
1.818181818181818343e+00,4.401138424873352051e-01
1.848484848484848619e+00,4.456851780414581299e-01
1.878787878787878896e+00,4.534758329391479492e-01
1.909090909090909172e+00,4.582894742488861084e-01
1.939393939393939448e+00,4.629063606262207031e-01
1.969696969696969724e+00,4.670437574386596680e-01
2.000000000000000000e+00,4.734148383140563965e-01
2.030303030303030276e+00,4.820304512977600098e-01
2.060606060606060552e+00,4.878536462783813477e-01
2.090909090909090828e+00,4.961158931255340576e-01
2.121212121212121104e+00,5.051931142807006836e-01
2.151515151515151381e+00,5.161864161491394043e-01
2.181818181818181657e+00,5.236526727676391602e-01
2.212121212121211933e+00,5.429076552391052246e-01
2.242424242424242209e+00,5.623784065246582031e-01
2.272727272727272485e+00,5.854192376136779785e-01
2.303030303030302761e+00,6.096799969673156738e-01
2.333333333333333481e+00,6.397146582603454590e-01
2.363636363636363757e+00,6.754637956619262695e-01
2.393939393939394034e+00,7.155116200447082520e-01
2.424242424242424310e+00,7.652030587196350098e-01
2.454545454545454586e+00,8.178066611289978027e-01
2.484848484848484862e+00,8.772865533828735352e-01
2.515151515151515138e+00,9.423618912696838379e-01
2.545454545454545414e+00,1.006588101387023926e+00
2.575757575757575690e+00,1.065758347511291504e+00
2.606060606060606410e+00,1.119385957717895508e+00
2.636363636363636687e+00,1.157447218894958496e+00
2.666666666666666963e+00,1.177321076393127441e+00
2.696969696969697239e+00,1.171202898025512695e+00
2.727272727272727515e+00,1.144196748733520508e+00
2.757575757575757791e+00,1.093237996101379395e+00
2.787878787878788067e+00,1.023759722709655762e+00
2.818181818181818343e+00,9.382644891738891602e-01
2.848484848484848619e+00,8.451216816902160645e-01
2.878787878787878896e+00,7.483405470848083496e-01
2.909090909090909172e+00,6.552925705909729004e-01
2.939393939393939448e+00,5.690159201622009277e-01
2.969696969696969724e+00,4.941670298576354980e-01
3.000000000000000000e+00,4.302553832530975342e-01
3.030303030303030276e+00,3.770364820957183838e-01
3.060606060606060552e+00,3.314785361289978027e-01
3.090909090909090828e+00,2.957882583141326904e-01
3.121212121212121104e+00,2.660156786441802979e-01
3.151515151515151381e+00,2.408292144536972046e-01
3.181818181818181657e+00,2.195646166801452637e-01
3.212121212121212377e+00,2.020726650953292847e-01
3.242424242424242653e+00,1.859783679246902466e-01
3.272727272727272929e+00,1.714455932378768921e-01
3.303030303030303205e+00,1.586734801530838013e-01
3.333333333333333481e+00,1.461660265922546387e-01
3.363636363636363757e+00,1.349233388900756836e-01
3.393939393939394034e+00,1.243709549307823181e-01
3.424242424242424310e+00,1.145465672016143799e-01
3.454545454545454586e+00,1.052391231060028076e-01
3.484848484848484862e+00,9.627166390419006348e-02
3.515151515151515138e+00,8.765610307455062866e-02
3.545454545454545414e+00,7.978537678718566895e-02
3.575757575757575690e+00,7.278814911842346191e-02
3.606060606060605966e+00,6.583794206380844116e-02
3.636363636363636243e+00,5.958784744143486023e-02
3.666666666666666963e+00,5.370524898171424866e-02
3.696969696969697239e+00,4.823922365903854370e-02
3.727272727272727515e+00,4.341820627450942993e-02
3.757575757575757791e+00,3.912966325879096985e-02
3.787878787878788067e+00,3.507351502776145935e-02
3.818181818181818343e+00,3.150204569101333618e-02
3.848484848484848619e+00,2.822540514171123505e-02
3.878787878787878896e+00,2.529727295041084290e-02
3.909090909090909172e+00,2.293634228408336639e-02
3.939393939393939448e+00,2.066344954073429108e-02
3.969696969696969724e+00,1.875546947121620178e-02
4.000000000000000000e+00,1.704782247543334961e-02
