h,chi_F
1.000000000000000000e+00,2.766127332032722874e-01
1.030303030303030276e+00,2.784278183698862819e-01
1.060606060606060552e+00,2.803235170438339030e-01
1.090909090909090828e+00,2.823033831430554197e-01
1.121212121212121104e+00,2.843714334819115175e-01
1.151515151515151603e+00,2.865322741403595330e-01
1.181818181818181879e+00,2.887911339159236479e-01
1.212121212121212155e+00,2.911539744743147917e-01
1.242424242424242431e+00,2.936276515279692689e-01
1.272727272727272707e+00,2.962200667400195497e-01
1.303030303030302983e+00,2.989403565273345276e-01
1.333333333333333481e+00,3.017991113997378627e-01
1.363636363636363757e+00,3.048086249305341222e-01
1.393939393939394034e+00,3.079831789554883792e-01
1.424242424242424310e+00,3.113393654794603393e-01
1.454545454545454586e+00,3.148964469786496578e-01
1.484848484848484862e+00,3.186767557566225206e-01
1.515151515151515138e+00,3.227061324005293663e-01
1.545454545454545414e+00,3.270144000286794306e-01
1.575757575757575690e+00,3.316358707081037971e-01
1.606060606060605966e+00,3.366098759179705358e-01
1.636363636363636243e+00,3.419813095778619916e-01
1.666666666666666741e+00,3.478011662461850673e-01
1.696969696969697017e+00,3.541270514375600698e-01
1.727272727272727293e+00,3.610236297374702641e-01
1.757575757575757569e+00,3.685629682245865624e-01
1.787878787878787845e+00,3.768247156135660081e-01
1.818181818181818343e+00,3.858960414494015945e-01
1.848484848484848619e+00,3.958712384339385659e-01
1.878787878787878896e+00,4.068508654072766628e-01
1.909090909090909172e+00,4.189402814834898292e-01
1.939393939393939448e+00,4.322473901670619290e-01
1.969696969696969724e+00,4.468793870385353584e-01
2.000000000000000000e+00,4.629382777912562363e-01
2.030303030303030276e+00,4.805149262743217409e-01
2.060606060606060552e+00,4.996814074589214227e-01
2.090909090909090828e+00,5.204814919285324359e-01
2.121212121212121104e+00,5.429192006086411837e-01
2.151515151515151381e+00,5.669455553219107102e-01
2.181818181818181657e+00,5.924439318100864771e-01
2.212121212121211933e+00,6.192148077047437971e-01
2.242424242424242209e+00,6.469611770522065708e-01
2.272727272727272485e+00,6.752764326763602831e-01
2.303030303030302761e+00,7.036370263683979775e-01
2.333333333333333481e+00,7.314025556125181016e-01
2.363636363636363757e+00,7.578259381771338399e-01
2.393939393939394034e+00,7.820758418828508418e-01
2.424242424242424310e+00,8.032723901295041324e-01
2.454545454545454586e+00,8.205353774376458187e-01
2.484848484848484862e+00,8.330419638716728414e-01
2.515151515151515138e+00,8.400884979913407768e-01
2.545454545454545414e+00,8.411493045016634751e-01
2.575757575757575690e+00,8.359245630086653556e-01
2.606060606060606410e+00,8.243702023208535623e-01
2.636363636363636687e+00,8.067050782356843808e-01
2.666666666666666963e+00,7.833941406807762853e-01
2.696969696969697239e+00,7.551100794526545146e-01
2.727272727272727515e+00,7.226791315433088725e-01
2.757575757575757791e+00,6.870186568469887067e-01
2.787878787878788067e+00,6.490744149633388416e-01
2.818181818181818343e+00,6.097643578188333136e-01
2.848484848484848619e+00,5.699336702421061718e-01
2.878787878787878896e+00,5.303233702820752127e-01
2.909090909090909172e+00,4.915525614962812928e-01
2.939393939393939448e+00,4.541127767533877368e-01
2.969696969696969724e+00,4.183718890939644441e-01
3.000000000000000000e+00,3.845847364777567057e-01
3.030303030303030276e+00,3.529077558747975019e-01
3.060606060606060552e+00,3.234153673050218503e-01
3.090909090909090828e+00,2.961163966197796205e-01
3.121212121212121104e+00,2.709693926644272666e-01
3.151515151515151381e+00,2.478961639682662477e-01
3.181818181818181657e+00,2.267932403420743204e-01
3.212121212121212377e+00,2.075412250704518624e-01
3.242424242424242653e+00,1.900121708955010980e-01
3.272727272727272929e+00,1.740752079976271294e-01
3.303030303030303205e+00,1.596006877764703513e-01
3.333333333333333481e+00,1.464631100821143783e-01
3.363636363636363757e+00,1.345430825370729500e-01
3.393939393939394034e+00,1.237285288140149708e-01
3.424242424242424310e+00,1.139153313291569464e-01
3.454545454545454586e+00,1.050075578749125049e-01
3.484848484848484862e+00,9.691739253203746074e-02
3.515151515151515138e+00,8.956486466110159805e-02
3.545454545454545414e+00,8.287744648291345273e-02
3.575757575757575690e+00,7.678957307432114632e-02
3.606060606060605966e+00,7.124212353131646747e-02
3.636363636363636243e+00,6.618189051237437226e-02
3.666666666666666963e+00,6.156105809214792307e-02
3.696969696969697239e+00,5.733669973744824622e-02
3.727272727272727515e+00,5.347030506468089528e-02
3.757575757575757791e+00,4.992733925737081330e-02
3.787878787878788067e+00,4.667683746157341024e-02
3.818181818181818343e+00,4.369103427995676969e-02
3.848484848484848619e+00,4.094502755585022191e-02
3.878787878787878896e+00,3.841647449637555778e-02
3.909090909090909172e+00,3.608531881676607656e-02
3.939393939393939448e+00,3.393354554582096727e-02
3.969696969696969724e+00,3.194496206907687652e-02
4.000000000000000000e+00,3.010500245535948499e-02
