h,chi_F
1.000000000000000000e+00,2.529474496841430664e-01
1.061224489795918435e+00,2.672687470912933350e-01
1.122448979591836649e+00,2.791164219379425049e-01
1.183673469387755084e+00,2.879606485366821289e-01
1.244897959183673519e+00,2.955559790134429932e-01
1.306122448979591955e+00,2.986493408679962158e-01
1.367346938775510168e+00,3.013060390949249268e-01
1.428571428571428603e+00,3.019561767578125000e-01
1.489795918367347038e+00,3.007580339908599854e-01
1.551020408163265252e+00,2.992179691791534424e-01
1.612244897959183687e+00,2.994934022426605225e-01
1.673469387755102122e+00,3.023945689201354980e-01
1.734693877551020336e+00,3.041914105415344238e-01
1.795918367346938771e+00,3.095609247684478760e-01
1.857142857142857206e+00,3.191035687923431396e-01
1.918367346938775420e+00,3.316130340099334717e-01
1.979591836734693855e+00,3.498449623584747314e-01
2.040816326530612290e+00,3.748377263545989990e-01
2.102040816326530503e+00,4.076867401599884033e-01
2.163265306122449161e+00,4.449428021907806396e-01
2.224489795918367374e+00,4.954674839973449707e-01
2.285714285714285587e+00,5.520985722541809082e-01
2.346938775510204245e+00,6.167641878128051758e-01
2.408163265306122458e+00,6.728233695030212402e-01
2.469387755102040671e+00,7.202768921852111816e-01
2.530612244897959329e+00,7.478328943252563477e-01
2.591836734693877542e+00,7.566391825675964355e-01
2.653061224489795755e+00,7.469581961631774902e-01
2.714285714285714413e+00,7.168135046958923340e-01
2.775510204081632626e+00,6.712241172790527344e-01
2.836734693877550839e+00,6.144004464149475098e-01
2.897959183673469497e+00,5.522489547729492188e-01
2.959183673469387710e+00,4.901202023029327393e-01
3.020408163265305923e+00,4.305590391159057617e-01
3.081632653061224580e+00,3.747524023056030273e-01
3.142857142857142794e+00,3.260860443115234375e-01
3.204081632653061007e+00,2.831493914127349854e-01
3.265306122448979664e+00,2.457866221666336060e-01
3.326530612244897878e+00,2.144486755132675171e-01
3.387755102040816091e+00,1.859969198703765869e-01
3.448979591836734748e+00,1.609133034944534302e-01
3.510204081632652962e+00,1.398878842592239380e-01
3.571428571428571175e+00,1.220389530062675476e-01
3.632653061224489832e+00,1.063008531928062439e-01
3.693877551020408045e+00,9.274689853191375732e-02
3.755102040816326259e+00,8.064277470111846924e-02
3.816326530612244916e+00,7.050880044698715210e-02
3.877551020408163129e+00,6.135815754532814026e-02
3.938775510204081343e+00,5.390831083059310913e-02
4.000000000000000000e+00,4.692976921796798706e-02
