h,type,mag_z,mag_z_error,mag_x,mag_x_error
1.000000,support,0.965356,0.000911,0.258965,0.003321
1.500000,novel,0.946067,0.001233,0.313980,0.003491
2.000000,support,0.824245,0.002247,0.557660,0.003387
2.400000,novel,0.707733,0.002823,0.703039,0.003204
2.600000,novel,0.652755,0.002956,0.761507,0.003000
2.800000,support,0.587622,0.003016,0.823622,0.002707
2.900000,novel,0.560578,0.003009,0.847340,0.002563
3.000000,support,0.537844,0.002994,0.865750,0.002422
3.100000,novel,0.521933,0.002971,0.878888,0.002283
3.200000,novel,0.499378,0.002920,0.896386,0.002137
3.300000,support,0.479200,0.002888,0.910385,0.002010
3.400000,novel,0.467956,0.002854,0.918579,0.001908
3.600000,support,0.449133,0.002786,0.931166,0.001733
3.800000,novel,0.431133,0.002745,0.941530,0.001605
4.000000,support,0.415711,0.002695,0.950187,0.001506
4.500000,novel,0.390533,0.002587,0.963117,0.001265
5.000000,support,0.367622,0.002492,0.973457,0.001103
5.500000,novel,0.353378,0.002438,0.978902,0.000992
6.000000,support,0.346156,0.002366,0.982378,0.000886
6.500000,novel,0.337711,0.002343,0.984890,0.000817
7.000000,support,0.328800,0.002293,0.987219,0.000756
