h,l,s2,s2_err,type
0.5,1,0.6283442497253418,0.003471984430675597,support
0.5,2,0.6876160462697347,0.0020802825216708594,support
0.5,3,0.6936731179555257,0.002279148964624214,support
0.5,4,0.6954514503479003,0.0022412653849681646,support
0.5,5,0.6959451198577881,0.0022089898089372923,support
0.5,6,0.6958383242289226,0.002287591903623583,support
0.5,7,0.6964338938395183,0.00220422624847898,support
0.5,8,0.6960193475087484,0.0022776095521564537,support
0.55,1,0.6084000905354817,0.0037282345962416047,interpolated
0.55,2,0.6781025250752767,0.006884937585614935,interpolated
0.55,3,0.6942343552907307,0.0022168169237613412,interpolated
0.55,4,0.6964959939320882,0.002326396271420524,interpolated
0.55,5,0.6970916271209717,0.002381118859052308,interpolated
0.55,6,0.6959200382232666,0.0025996223246764487,interpolated
0.55,7,0.6982994397481282,0.0023690789733044966,interpolated
0.55,8,0.69848157564799,0.0023410265390139194,interpolated
0.6000000000000001,1,0.5978794415791829,0.0034295784617043813,interpolated
0.6000000000000001,2,0.6785878976186116,0.0027584740732203477,interpolated
0.6000000000000001,3,0.6939714113871257,0.0023096003986004116,interpolated
0.6000000000000001,4,0.6972671031951905,0.002308245128221897,interpolated
0.6000000000000001,5,0.6992578029632568,0.0025136251189766447,interpolated
0.6000000000000001,6,0.699578046798706,0.0023263394310657167,interpolated
0.6000000000000001,7,0.7010172208150228,0.0024509520300351056,interpolated
0.6000000000000001,8,0.700672197341919,0.0023359283709299297,interpolated
0.6500000000000001,1,0.5785233815511067,0.0031108483668952345,interpolated
0.6500000000000001,2,0.6707132021586101,0.0025439937165925995,interpolated
0.6500000000000001,3,0.6931068420410156,0.002456536688977399,interpolated
0.6500000000000001,4,0.6976653893788656,0.002438130923992807,interpolated
0.6500000000000001,5,0.7004364808400472,0.0022825335439301676,interpolated
0.6500000000000001,6,0.7011598269144694,0.0023888036150599003,interpolated
0.6500000000000001,7,0.7022186597188314,0.002322665481062143,interpolated
0.6500000000000001,8,0.7020924250284831,0.0024092835330742496,interpolated
0.7000000000000002,1,0.5528907616933186,0.0028503765257767546,interpolated
0.7000000000000002,2,0.6530143260955811,0.004460714248661453,interpolated
0.7000000000000002,3,0.676288366317749,0.005735877413285775,interpolated
0.7000000000000002,4,0.6887703577677409,0.003715470243238419,interpolated
0.7000000000000002,5,0.6947789192199707,0.0033699977946203227,interpolated
0.7000000000000002,6,0.6985429604848226,0.0026630932303730276,interpolated
0.7000000000000002,7,0.7005344708760579,0.002761964698440891,interpolated
0.7000000000000002,8,0.7011127789815267,0.0027983791073964794,interpolated
0.7500000000000002,1,0.5349798361460368,0.002706712863116188,interpolated
0.7500000000000002,2,0.6403857707977295,0.0036914017966587754,interpolated
0.7500000000000002,3,0.6767826875050863,0.0028830393170975223,interpolated
0.7500000000000002,4,0.6912824471791585,0.002670594521327702,interpolated
0.7500000000000002,5,0.7000974496205647,0.002556502181893778,interpolated
0.7500000000000002,6,0.7028263250986735,0.0028302867995008666,interpolated
0.7500000000000002,7,0.7052420934041341,0.0030936161760097155,interpolated
0.7500000000000002,8,0.7060379823048909,0.0026731256405454463,interpolated
0.8,1,0.5020214398701985,0.0033104540634263874,support
0.8,2,0.6192534605662028,0.004212424756427708,support
0.8,3,0.6666401227315267,0.003306977025715405,support
0.8,4,0.6808106104532877,0.004787735655361889,support
0.8,5,0.6969407240549723,0.003054381428657097,support
0.8,6,0.7042222658793131,0.0026050455973741947,support
0.8,7,0.7099927584330241,0.002548779241767786,support
0.8,8,0.7086619218190511,0.002744141278664724,support
0.8500000000000003,1,0.4775298436482747,0.003114701918799317,interpolated
0.8500000000000003,2,0.5993675708770752,0.0040334158670140615,interpolated
0.8500000000000003,3,0.6478296915690104,0.003536594501751396,interpolated
0.8500000000000003,4,0.6732048511505127,0.003705628455928327,interpolated
0.8500000000000003,5,0.6929308414459229,0.0032847988636908647,interpolated
0.8500000000000003,6,0.7037344773610433,0.0029094953843336914,interpolated
