h,l,type,s2,s2_err
5.000000e-01,1,support,6.354427e-01,1.857574e-03
5.000000e-01,2,support,6.796017e-01,5.172454e-03
5.000000e-01,3,support,6.945610e-01,7.342763e-03
5.000000e-01,4,support,6.951332e-01,4.485300e-03
5.000000e-01,5,support,6.950035e-01,4.422886e-03
5.000000e-01,6,support,6.945095e-01,3.966012e-03
5.000000e-01,7,support,6.961651e-01,4.495179e-03
5.000000e-01,8,support,6.972237e-01,5.032865e-03
5.500000e-01,1,novel,6.374931e-01,9.619426e-03
5.500000e-01,2,novel,6.906996e-01,2.313999e-03
5.500000e-01,3,novel,7.013893e-01,2.590912e-03
5.500000e-01,4,novel,7.032976e-01,9.384353e-03
5.500000e-01,5,novel,7.053127e-01,9.775998e-03
5.500000e-01,6,novel,7.050724e-01,1.030734e-02
5.500000e-01,7,novel,7.059898e-01,1.044508e-02
5.500000e-01,8,novel,7.068291e-01,1.021645e-02
6.000000e-01,1,novel,5.836372e-01,7.465196e-03
6.000000e-01,2,novel,6.661015e-01,2.128584e-03
6.000000e-01,3,novel,6.786022e-01,4.423483e-03
6.000000e-01,4,novel,6.795177e-01,5.908697e-03
6.000000e-01,5,novel,6.809607e-01,6.169514e-03
6.000000e-01,6,novel,6.814899e-01,6.415083e-03
6.000000e-01,7,novel,6.829824e-01,4.896230e-03
6.000000e-01,8,novel,6.813736e-01,6.536074e-03
6.500000e-01,1,novel,5.687666e-01,3.433880e-03
6.500000e-01,2,novel,6.524448e-01,3.897558e-03
6.500000e-01,3,novel,6.719418e-01,1.671993e-03
6.500000e-01,4,novel,6.792698e-01,2.596269e-03
6.500000e-01,5,novel,6.809978e-01,3.187636e-03
6.500000e-01,6,novel,6.835604e-01,1.748345e-03
6.500000e-01,7,novel,6.836052e-01,2.721766e-03
6.500000e-01,8,novel,6.842089e-01,2.014494e-03
7.000000e-01,1,novel,5.446634e-01,5.363737e-03
7.000000e-01,2,novel,6.536684e-01,2.404139e-02
7.000000e-01,3,novel,6.782589e-01,2.270364e-03
7.000000e-01,4,novel,6.851463e-01,2.170446e-03
7.000000e-01,5,novel,6.904259e-01,1.738504e-03
7.000000e-01,6,novel,6.885643e-01,1.026343e-03
7.000000e-01,7,novel,6.910133e-01,1.159349e-03
7.000000e-01,8,novel,6.910563e-01,1.326097e-03
7.500000e-01,1,novel,5.259609e-01,9.419824e-03
7.500000e-01,2,novel,6.431742e-01,3.327994e-03
7.500000e-01,3,novel,6.772118e-01,1.937086e-03
7.500000e-01,4,novel,6.927538e-01,2.152179e-03
7.500000e-01,5,novel,6.971607e-01,3.967066e-03
7.500000e-01,6,novel,7.013102e-01,4.340491e-03
7.500000e-01,7,novel,7.014370e-01,2.983879e-03
7.500000e-01,8,novel,7.028866e-01,8.134710e-04
8.000000e-01,1,support,5.125389e-01,1.594081e-02
8.000000e-01,2,support,6.200294e-01,7.588375e-03
8.000000e-01,3,support,6.605368e-01,8.568626e-03
8.000000e-01,4,support,6.880798e-01,4.456436e-03
8.000000e-01,5,support,6.953459e-01,1.534945e-03
8.000000e-01,6,support,7.000933e-01,5.327525e-03
8.000000e-01,7,support,7.082567e-01,9.986144e-03
8.000000e-01,8,support,7.058010e-01,3.645160e-03
8.500000e-01,1,novel,4.841976e-01,1.287579e-02
8.500000e-01,2,novel,5.909691e-01,6.735181e-03
8.500000e-01,3,novel,6.611404e-01,4.753277e-03
8.500000e-01,4,novel,6.878500e-01,2.236962e-02
8.500000e-01,5,novel,7.045898e-01,5.351953e-03
8.500000e-01,6,novel,7.053318e-01,2.948042e-02
8.500000e-01,7,novel,7.130928e-01,1.916333e-02
8.500000e-01,8,novel,7.104759e-01,1.874866e-02
9.000000e-01,1,novel,4.555397e-01,1.047433e-02
9.000000e-01,2,novel,5.541248e-01,5.290197e-03
9.000000e-01,3,novel,6.283560e-01,3.976083e-03
9.000000e-01,4,novel,6.558027e-01,1.167124e-02
9.000000e-01,5,novel,6.831112e-01,1.691741e-02
9.000000e-01,6,novel,6.893606e-01,1.647631e-02
9.000000e-01,7,novel,6.801701e-01,1.273942e-02
9.000000e-01,8,novel,6.968756e-01,1.274957e-02
9.500000e-01,1,support,3.956051e-01,6.935561e-03
9.500000e-01,2,support,5.072756e-01,1.357621e-02
9.500000e-01,3,support,5.682812e-01,1.461550e-02
9.500000e-01,4,support,5.893517e-01,3.199402e-03
9.500000e-01,5,support,6.252480e-01,1.233903e-02
9.500000e-01,6,support,6.389894e-01,1.372256e-02
9.500000e-01,7,support,6.596899e-01,1.501460e-02
9.500000e-01,8,support,6.492100e-01,1.715379e-02
1.000000e+00,1,support,3.470106e-01,4.377940e-04
1.000000e+00,2,support,4.487610e-01,5.676027e-03
1.000000e+00,3,support,5.206318e-01,9.969008e-03
1.000000e+00,4,support,5.415134e-01,3.105319e-03
1.000000e+00,5,support,5.676937e-01,9.311295e-03
1.000000e+00,6,support,5.762424e-01,1.502531e-02
1.000000e+00,7,support,5.591488e-01,1.927863e-02
1.000000e+00,8,support,5.745707e-01,1.260864e-02
1.050000e+00,1,support,3.044128e-01,6.638128e-03
1.050000e+00,2,support,3.887968e-01,5.643923e-03
1.050000e+00,3,support,4.258251e-01,8.201247e-03
1.050000e+00,4,support,4.477825e-01,5.933248e-03
1.050000e+00,5,support,4.830341e-01,1.015032e-02
1.050000e+00,6,support,4.985199e-01,9.458735e-03
1.050000e+00,7,support,5.019722e-01,9.301081e-03
1.050000e+00,8,support,5.016518e-01,9.247681e-03
1.100000e+00,1,novel,2.744656e-01,2.158620e-03
1.100000e+00,2,novel,3.420105e-01,8.793264e-03
1.100000e+00,3,novel,3.713751e-01,2.321114e-03
1.100000e+00,4,novel,3.930597e-01,2.162515e-03
1.100000e+00,5,novel,4.057131e-01,4.505010e-03
1.100000e+00,6,novel,4.079914e-01,8.835891e-03
1.100000e+00,7,novel,4.181080e-01,1.828351e-02
1.100000e+00,8,novel,4.154568e-01,9.417394e-03
1.150000e+00,1,novel,2.402172e-01,4.228745e-03
1.150000e+00,2,novel,2.878475e-01,4.484954e-03
1.150000e+00,3,novel,3.055820e-01,1.514504e-02
1.150000e+00,4,novel,3.192511e-01,1.319161e-02
1.150000e+00,5,novel,3.406134e-01,1.619182e-03
1.150000e+00,6,novel,3.468866e-01,4.124424e-03
1.150000e+00,7,novel,3.476620e-01,1.034391e-02
1.150000e+00,8,novel,3.551960e-01,2.775295e-03
1.200000e+00,1,support,2.036753e-01,5.381419e-03
1.200000e+00,2,support,2.603245e-01,6.581043e-03
1.200000e+00,3,support,2.682419e-01,7.548168e-03
1.200000e+00,4,support,2.776699e-01,3.657897e-03
1.200000e+00,5,support,2.827997e-01,5.326825e-03
1.200000e+00,6,support,2.909441e-01,7.921402e-03
1.200000e+00,7,support,2.879982e-01,8.031338e-03
1.200000e+00,8,support,2.761955e-01,2.231338e-03
1.250000e+00,1,novel,1.798687e-01,1.006936e-02
1.250000e+00,2,novel,2.306299e-01,7.043226e-03
