h,l,type,s2,seed,model_file
5.000000e-01,1,support,6.385393e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
5.000000e-01,2,support,6.796017e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
5.000000e-01,3,support,6.796341e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
5.000000e-01,4,support,6.869755e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
5.000000e-01,5,support,6.876717e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
5.000000e-01,6,support,6.878519e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
5.000000e-01,7,support,6.878595e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
5.000000e-01,8,support,6.868916e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
5.500000e-01,1,novel,6.529865e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
5.500000e-01,2,novel,6.949768e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
5.500000e-01,3,novel,7.013893e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
5.500000e-01,4,novel,7.197151e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
5.500000e-01,5,novel,7.217655e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
5.500000e-01,6,novel,7.225475e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
5.500000e-01,7,novel,7.223215e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
5.500000e-01,8,novel,7.226601e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
6.000000e-01,1,novel,5.974598e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
6.000000e-01,2,novel,6.661015e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
6.000000e-01,3,novel,6.863289e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
6.000000e-01,4,novel,6.911316e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
6.000000e-01,5,novel,6.920061e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
6.000000e-01,6,novel,6.924210e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
6.000000e-01,7,novel,6.909800e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
6.000000e-01,8,novel,6.941586e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
6.500000e-01,1,novel,5.626965e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
6.500000e-01,2,novel,6.524448e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
6.500000e-01,3,novel,6.722851e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
6.500000e-01,4,novel,6.763544e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
6.500000e-01,5,novel,6.781082e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
6.500000e-01,6,novel,6.835604e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
6.500000e-01,7,novel,6.815319e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
6.500000e-01,8,novel,6.819153e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
7.000000e-01,1,novel,5.377445e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
7.000000e-01,2,novel,6.536684e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
7.000000e-01,3,novel,6.782589e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
7.000000e-01,4,novel,6.807728e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
7.000000e-01,5,novel,6.904259e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
7.000000e-01,6,novel,6.885643e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
7.000000e-01,7,novel,6.910133e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
7.000000e-01,8,novel,6.903038e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
7.500000e-01,1,novel,5.259609e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
7.500000e-01,2,novel,6.364508e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
7.500000e-01,3,novel,6.740179e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
7.500000e-01,4,novel,6.929321e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
7.500000e-01,5,novel,7.011786e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
7.500000e-01,6,novel,7.029448e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
7.500000e-01,7,novel,7.014370e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
7.500000e-01,8,novel,7.034016e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
8.000000e-01,1,support,5.125389e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
8.000000e-01,2,support,6.200294e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
8.000000e-01,3,support,6.605368e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
8.000000e-01,4,support,6.880798e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
8.000000e-01,5,support,6.979446e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
8.000000e-01,6,support,6.904650e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
8.000000e-01,7,support,6.874161e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
8.000000e-01,8,support,6.991711e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
8.500000e-01,1,novel,4.847841e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
8.500000e-01,2,novel,5.978432e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
8.500000e-01,3,novel,6.712112e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
8.500000e-01,4,novel,6.994953e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
8.500000e-01,5,novel,7.130642e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
8.500000e-01,6,novel,6.445580e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
8.500000e-01,7,novel,7.238865e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
8.500000e-01,8,novel,7.280941e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
9.000000e-01,1,novel,4.684153e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
9.000000e-01,2,novel,5.541248e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
9.000000e-01,3,novel,6.283560e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
9.000000e-01,4,novel,6.646538e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
9.000000e-01,5,novel,6.831112e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
9.000000e-01,6,novel,6.893606e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
9.000000e-01,7,novel,6.801701e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
9.000000e-01,8,novel,6.968756e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
9.500000e-01,1,support,3.991556e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
9.500000e-01,2,support,5.072756e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
9.500000e-01,3,support,5.682812e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
9.500000e-01,4,support,5.893517e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
9.500000e-01,5,support,6.252480e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
9.500000e-01,6,support,6.389894e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
9.500000e-01,7,support,6.596899e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
9.500000e-01,8,support,6.492100e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.000000e+00,1,support,3.470106e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.000000e+00,2,support,4.519024e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.000000e+00,3,support,5.279446e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.000000e+00,4,support,5.391302e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.000000e+00,5,support,5.676937e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.000000e+00,6,support,5.762424e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.000000e+00,7,support,5.591488e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.000000e+00,8,support,5.597267e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.050000e+00,1,support,3.143902e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.050000e+00,2,support,3.887968e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.050000e+00,3,support,4.350338e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.050000e+00,4,support,4.551458e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.050000e+00,5,support,4.830341e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.050000e+00,6,support,5.015163e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.050000e+00,7,support,5.139198e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.050000e+00,8,support,5.016518e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.100000e+00,1,novel,2.710495e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.100000e+00,2,novel,3.420105e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.100000e+00,3,novel,3.671646e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.100000e+00,4,novel,3.908424e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.100000e+00,5,novel,4.101162e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.100000e+00,6,novel,4.079914e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.100000e+00,7,novel,4.181080e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.100000e+00,8,novel,4.266558e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.150000e+00,1,novel,2.425222e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.150000e+00,2,novel,2.966700e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.150000e+00,3,novel,3.368425e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.150000e+00,4,novel,3.445759e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.150000e+00,5,novel,3.416042e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.150000e+00,6,novel,3.549976e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.150000e+00,7,novel,3.605261e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.150000e+00,8,novel,3.561039e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.200000e+00,1,support,2.148628e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.200000e+00,2,support,2.603245e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.200000e+00,3,support,2.817888e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.200000e+00,4,support,2.809839e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.200000e+00,5,support,2.827997e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.200000e+00,6,support,2.909441e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.200000e+00,7,support,2.879982e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.200000e+00,8,support,2.761955e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.250000e+00,1,novel,1.756792e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.250000e+00,2,novel,2.306299e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.250000e+00,3,novel,2.445831e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.250000e+00,4,novel,2.354536e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.250000e+00,5,novel,2.478809e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.250000e+00,6,novel,2.533703e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.250000e+00,7,novel,2.579327e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.250000e+00,8,novel,2.477741e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.300000e+00,1,novel,1.561260e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.300000e+00,2,novel,1.973019e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.300000e+00,3,novel,2.051830e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.300000e+00,4,novel,2.193613e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.300000e+00,5,novel,2.174025e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.300000e+00,6,novel,2.190037e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.300000e+00,7,novel,2.132301e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.300000e+00,8,novel,2.166862e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.350000e+00,1,novel,1.418266e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.350000e+00,2,novel,1.718521e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.350000e+00,3,novel,1.767035e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.350000e+00,4,novel,1.697903e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.350000e+00,5,novel,1.760597e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.350000e+00,6,novel,1.794157e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.350000e+00,7,novel,1.664391e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.350000e+00,8,novel,1.782169e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.400000e+00,1,novel,1.430855e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.400000e+00,2,novel,1.732254e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.400000e+00,3,novel,1.804466e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.400000e+00,4,novel,1.743584e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.400000e+00,5,novel,1.776810e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.400000e+00,6,novel,1.818047e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.400000e+00,7,novel,1.719894e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.400000e+00,8,novel,1.770515e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.450000e+00,1,novel,1.201534e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.450000e+00,2,novel,1.512518e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.450000e+00,3,novel,1.572704e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.450000e+00,4,novel,1.491699e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.450000e+00,5,novel,1.491528e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.450000e+00,6,novel,1.558113e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.450000e+00,7,novel,1.530094e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.450000e+00,8,novel,1.548624e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.500000e+00,1,support,1.212206e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.500000e+00,2,support,1.402760e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.500000e+00,3,support,1.435852e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.500000e+00,4,support,1.337109e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.500000e+00,5,support,1.431808e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.500000e+00,6,support,1.443958e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.500000e+00,7,support,1.412239e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
1.500000e+00,8,support,1.529274e-01,42,hyprbm_tfim_16_20000_seed42_20260205_212253.pt
