h,chi_F
1.000000000000000000e+00,9.996084868907928467e-02
1.071428571428571397e+00,1.151810735464096069e-01
1.142857142857142794e+00,1.307617276906967163e-01
1.214285714285714191e+00,1.478784233331680298e-01
1.285714285714285587e+00,1.661616712808609009e-01
1.357142857142857206e+00,1.840847283601760864e-01
1.428571428571428603e+00,2.046502530574798584e-01
1.500000000000000000e+00,2.235990762710571289e-01
1.571428571428571397e+00,2.447938323020935059e-01
1.642857142857142794e+00,2.639430463314056396e-01
1.714285714285714191e+00,2.832515835762023926e-01
1.785714285714285587e+00,3.032247424125671387e-01
1.857142857142857206e+00,3.192881941795349121e-01
1.928571428571428381e+00,3.325215280055999756e-01
2.000000000000000000e+00,3.413700163364410400e-01
2.071428571428571175e+00,3.470674455165863037e-01
2.142857142857142794e+00,3.499398827552795410e-01
2.214285714285714413e+00,3.464749753475189209e-01
2.285714285714285587e+00,3.393165171146392822e-01
2.357142857142856762e+00,3.270809054374694824e-01
2.428571428571428381e+00,3.122785985469818115e-01
2.500000000000000000e+00,2.930116355419158936e-01
2.571428571428571175e+00,2.717691659927368164e-01
2.642857142857142794e+00,2.495187371969223022e-01
2.714285714285714413e+00,2.256150245666503906e-01
2.785714285714285587e+00,2.020993530750274658e-01
2.857142857142856762e+00,1.801133453845977783e-01
2.928571428571428381e+00,1.584912091493606567e-01
3.000000000000000000e+00,1.393712759017944336e-01
3.071428571428571175e+00,1.214347630739212036e-01
3.142857142857142794e+00,1.054478213191032410e-01
3.214285714285713969e+00,9.125440567731857300e-02
3.285714285714285587e+00,7.841274142265319824e-02
3.357142857142857206e+00,6.723564863204956055e-02
3.428571428571428381e+00,5.773183703422546387e-02
3.500000000000000000e+00,4.955512285232543945e-02
3.571428571428571175e+00,4.245979338884353638e-02
3.642857142857142794e+00,3.650666400790214539e-02
3.714285714285713969e+00,3.118197247385978699e-02
3.785714285714285587e+00,2.679775655269622803e-02
3.857142857142856762e+00,2.314665727317333221e-02
3.928571428571428381e+00,2.000416256487369537e-02
4.000000000000000000e+00,1.732471399009227753e-02
4.071428571428571175e+00,1.508867647498846054e-02
4.142857142857142350e+00,1.306178793311119080e-02
4.214285714285713524e+00,1.141302846372127533e-02
4.285714285714285587e+00,1.001031138002872467e-02
4.357142857142856762e+00,8.805367164313793182e-03
4.428571428571428825e+00,7.755997590720653534e-03
4.500000000000000000e+00,6.834944244474172592e-03
