h,chi_F
1.000000000000000000e+00,1.584525274322735877e-01
1.035353535353535248e+00,1.603037831046709438e-01
1.070707070707070718e+00,1.623390717068491085e-01
1.106060606060605966e+00,1.645782856799952731e-01
1.141414141414141437e+00,1.670428769600693086e-01
1.176767676767676685e+00,1.697557793858037734e-01
1.212121212121212155e+00,1.727412763827526898e-01
1.247474747474747403e+00,1.760248014992334964e-01
1.282828282828282873e+00,1.796326574722772462e-01
1.318181818181818121e+00,1.835916371794703295e-01
1.353535353535353591e+00,1.879285284265422296e-01
1.388888888888888840e+00,1.926694824602216971e-01
1.424242424242424310e+00,1.978392258693768557e-01
1.459595959595959558e+00,2.034600955823683832e-01
1.494949494949494806e+00,2.095508790343909022e-01
1.530303030303030276e+00,2.161254464065966996e-01
1.565656565656565746e+00,2.231911699103606150e-01
1.601010101010100994e+00,2.307471372912372198e-01
1.636363636363636243e+00,2.387821843481868767e-01
1.671717171717171713e+00,2.472727945176134423e-01
1.707070707070707183e+00,2.561809417553764234e-01
1.742424242424242431e+00,2.654519873841442168e-01
1.777777777777777679e+00,2.750127783929554592e-01
1.813131313131313149e+00,2.847701314630209923e-01
1.848484848484848397e+00,2.946099189419733588e-01
1.883838383838383645e+00,3.043969927428574196e-01
1.919191919191919116e+00,3.139761823632775672e-01
1.954545454545454586e+00,3.231745762534053990e-01
1.989898989898989834e+00,3.318052331267162258e-01
2.025252525252525082e+00,3.396723720548561198e-01
2.060606060606060552e+00,3.465779550312042545e-01
2.095959595959596022e+00,3.523294179334668375e-01
2.131313131313131493e+00,3.567481402368863908e-01
2.166666666666666519e+00,3.596780951602355780e-01
2.202020202020201989e+00,3.609940197744635482e-01
2.237373737373737015e+00,3.606084095288677460e-01
2.272727272727272485e+00,3.584766940139665348e-01
2.308080808080807955e+00,3.546000901528538196e-01
2.343434343434343425e+00,3.490258413756686662e-01
2.378787878787878896e+00,3.418448085150441740e-01
2.414141414141414366e+00,3.331866421389639843e-01
2.449494949494949392e+00,3.232129941236594473e-01
2.484848484848484862e+00,3.121093908567339481e-01
2.520202020202019888e+00,3.000764658087693437e-01
2.555555555555555358e+00,2.873212386175485467e-01
2.590909090909090828e+00,2.740490396285988894e-01
2.626262626262626299e+00,2.604565378759314820e-01
2.661616161616161769e+00,2.467261631686598067e-01
2.696969696969696795e+00,2.330220475330097019e-01
2.732323232323232265e+00,2.194874644249874274e-01
2.767676767676767291e+00,2.062436335843698121e-01
2.803030303030302761e+00,1.933896852263763677e-01
2.838383838383838231e+00,1.810035407063840251e-01
2.873737373737373701e+00,1.691434610090389312e-01
2.909090909090909172e+00,1.578500307421514537e-01
2.944444444444444642e+00,1.471483766379239611e-01
2.979797979797979668e+00,1.370504577729890761e-01
3.015151515151515138e+00,1.275573035782043840e-01
3.050505050505050608e+00,1.186611131376297951e-01
3.085858585858585634e+00,1.103471606157332419e-01
3.121212121212121104e+00,1.025954776457266709e-01
3.156565656565656575e+00,9.538230332552874446e-02
3.191919191919192045e+00,8.868130653828533438e-02
3.227272727272727071e+00,8.246459506815084772e-02
3.262626262626262541e+00,7.670353128756848826e-02
3.297979797979798011e+00,7.136937732761282349e-02
3.333333333333333037e+00,6.643379309570592028e-02
3.368686868686868507e+00,6.186920987345163880e-02
3.404040404040403978e+00,5.764910051359069254e-02
3.439393939393939448e+00,5.374816520272072962e-02
3.474747474747474474e+00,5.014244935649063428e-02
3.510101010101009944e+00,4.680940793384769788e-02
3.545454545454545414e+00,4.372792815200290950e-02
3.580808080808080884e+00,4.087832060602616252e-02
3.616161616161615910e+00,3.824228702273396729e-02
3.651515151515151381e+00,3.580287120705477610e-02
3.686868686868686851e+00,3.354439852595293703e-02
3.722222222222222321e+00,3.145240801163821931e-02
3.757575757575757347e+00,2.951358038677655282e-02
3.792929292929292817e+00,2.771566442564133564e-02
3.828282828282828287e+00,2.604740352013298205e-02
3.863636363636363313e+00,2.449846378204927760e-02
3.898989898989898784e+00,2.305936466772926657e-02
3.934343434343434254e+00,2.172141273617072058e-02
3.969696969696969724e+00,2.047663899534261228e-02
4.005050505050505194e+00,1.931774002893613118e-02
4.040404040404039776e+00,1.823802301261363140e-02
4.075757575757576134e+00,1.723135459696973140e-02
4.111111111111110716e+00,1.629211358587520642e-02
4.146464646464646187e+00,1.541514725889712653e-02
4.181818181818181657e+00,1.459573117029139624e-02
4.217171717171717127e+00,1.382953223706505017e-02
4.252525252525252597e+00,1.311257489944824342e-02
4.287878787878787179e+00,1.244121015410399808e-02
4.323232323232323537e+00,1.181208725301849394e-02
4.358585858585858119e+00,1.122212785679928271e-02
4.393939393939393590e+00,1.066850245276256340e-02
4.429292929292929060e+00,1.014860886892531358e-02
4.464646464646464530e+00,9.660052662158698233e-03
4.500000000000000000e+00,9.200629283398341351e-03
