h,chi_F,seed,model_file
1.000000e+00,1.411175e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
1.071429e+00,1.514266e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
1.142857e+00,1.660320e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
1.214286e+00,1.853034e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
1.285714e+00,2.033093e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
1.357143e+00,2.136927e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
1.428571e+00,2.307192e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
1.500000e+00,2.437991e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
1.571429e+00,2.619081e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
1.642857e+00,2.772332e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
1.714286e+00,2.808225e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
1.785714e+00,2.981353e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
1.857143e+00,3.077628e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
1.928571e+00,3.165514e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
2.000000e+00,3.284702e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
2.071429e+00,3.354324e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
2.142857e+00,3.445754e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
2.214286e+00,3.528051e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
2.285714e+00,3.539231e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
2.357143e+00,3.503634e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
2.428571e+00,3.405676e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
2.500000e+00,3.316934e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
2.571429e+00,3.056765e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
2.642857e+00,2.805333e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
2.714286e+00,2.524482e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
2.785714e+00,2.212606e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
2.857143e+00,1.894230e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
2.928571e+00,1.601748e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
3.000000e+00,1.340598e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
3.071429e+00,1.104417e-01,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
3.142857e+00,9.055924e-02,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
3.214286e+00,7.363483e-02,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
3.285714e+00,6.090658e-02,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
3.357143e+00,4.964858e-02,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
3.428571e+00,4.072818e-02,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
3.500000e+00,3.461416e-02,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
3.571429e+00,2.948105e-02,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
3.642857e+00,2.605908e-02,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
3.714286e+00,2.326191e-02,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
3.785714e+00,2.073431e-02,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
3.857143e+00,1.946077e-02,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
3.928571e+00,1.844081e-02,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
4.000000e+00,1.789791e-02,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
4.071429e+00,1.708722e-02,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
4.142857e+00,1.638491e-02,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
4.214286e+00,1.585609e-02,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
4.285714e+00,1.508097e-02,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
4.357143e+00,1.460932e-02,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
4.428571e+00,1.415084e-02,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
4.500000e+00,1.348009e-02,43,hyprbm_tfim_3x3_20000_suscept_seed43_20260206_035652.pt
