h,chi_F
1.000000e+00,1.584525e-01
1.035354e+00,1.603038e-01
1.070707e+00,1.623391e-01
1.106061e+00,1.645783e-01
1.141414e+00,1.670429e-01
1.176768e+00,1.697558e-01
1.212121e+00,1.727413e-01
1.247475e+00,1.760248e-01
1.282828e+00,1.796327e-01
1.318182e+00,1.835916e-01
1.353535e+00,1.879285e-01
1.388889e+00,1.926695e-01
1.424242e+00,1.978392e-01
1.459596e+00,2.034601e-01
1.494949e+00,2.095509e-01
1.530303e+00,2.161254e-01
1.565657e+00,2.231912e-01
1.601010e+00,2.307471e-01
1.636364e+00,2.387822e-01
1.671717e+00,2.472728e-01
1.707071e+00,2.561809e-01
1.742424e+00,2.654520e-01
1.777778e+00,2.750128e-01
1.813131e+00,2.847701e-01
1.848485e+00,2.946099e-01
1.883838e+00,3.043970e-01
1.919192e+00,3.139762e-01
1.954545e+00,3.231746e-01
1.989899e+00,3.318052e-01
2.025253e+00,3.396724e-01
2.060606e+00,3.465780e-01
2.095960e+00,3.523294e-01
2.131313e+00,3.567481e-01
2.166667e+00,3.596781e-01
2.202020e+00,3.609940e-01
2.237374e+00,3.606084e-01
2.272727e+00,3.584767e-01
2.308081e+00,3.546001e-01
2.343434e+00,3.490258e-01
2.378788e+00,3.418448e-01
2.414141e+00,3.331866e-01
2.449495e+00,3.232130e-01
2.484848e+00,3.121094e-01
2.520202e+00,3.000765e-01
2.555556e+00,2.873212e-01
2.590909e+00,2.740490e-01
2.626263e+00,2.604565e-01
2.661616e+00,2.467262e-01
2.696970e+00,2.330220e-01
2.732323e+00,2.194875e-01
2.767677e+00,2.062436e-01
2.803030e+00,1.933897e-01
2.838384e+00,1.810035e-01
2.873737e+00,1.691435e-01
2.909091e+00,1.578500e-01
2.944444e+00,1.471484e-01
2.979798e+00,1.370505e-01
3.015152e+00,1.275573e-01
3.050505e+00,1.186611e-01
3.085859e+00,1.103472e-01
3.121212e+00,1.025955e-01
3.156566e+00,9.538230e-02
3.191919e+00,8.868131e-02
3.227273e+00,8.246460e-02
3.262626e+00,7.670353e-02
3.297980e+00,7.136938e-02
3.333333e+00,6.643379e-02
3.368687e+00,6.186921e-02
3.404040e+00,5.764910e-02
3.439394e+00,5.374817e-02
3.474747e+00,5.014245e-02
3.510101e+00,4.680941e-02
3.545455e+00,4.372793e-02
3.580808e+00,4.087832e-02
3.616162e+00,3.824229e-02
3.651515e+00,3.580287e-02
3.686869e+00,3.354440e-02
3.722222e+00,3.145241e-02
3.757576e+00,2.951358e-02
3.792929e+00,2.771566e-02
3.828283e+00,2.604740e-02
3.863636e+00,2.449846e-02
3.898990e+00,2.305936e-02
3.934343e+00,2.172141e-02
3.969697e+00,2.047664e-02
4.005051e+00,1.931774e-02
4.040404e+00,1.823802e-02
4.075758e+00,1.723135e-02
4.111111e+00,1.629211e-02
4.146465e+00,1.541515e-02
4.181818e+00,1.459573e-02
4.217172e+00,1.382953e-02
4.252525e+00,1.311257e-02
4.287879e+00,1.244121e-02
4.323232e+00,1.181209e-02
4.358586e+00,1.122213e-02
4.393939e+00,1.066850e-02
4.429293e+00,1.014861e-02
4.464646e+00,9.660053e-03
4.500000e+00,9.200629e-03
