h,type,mz,mx
1.000000,support,0.967987,0.250427
1.500000,support,0.917725,0.394106
1.800000,novel,0.885212,0.459688
2.100000,support,0.824000,0.554222
2.400000,novel,0.716862,0.676998
2.600000,novel,0.631187,0.752474
2.800000,support,0.548537,0.817705
2.900000,novel,0.501588,0.846626
3.000000,support,0.472325,0.866922
3.100000,novel,0.443287,0.884880
3.300000,support,0.399363,0.910094
3.400000,novel,0.378112,0.921700
3.600000,support,0.347813,0.937767
3.800000,novel,0.326688,0.946015
4.000000,support,0.310000,0.954999
4.500000,novel,0.287775,0.966940
5.000000,support,0.268838,0.973948
5.500000,novel,0.258112,0.980929
6.000000,support,0.248575,0.983462
6.500000,novel,0.241200,0.986697
7.000000,support,0.239875,0.988434
