h,type,mag_z,mag_x
1.000000e+00,support,9.680750e-01,2.499300e-01
1.500000e+00,novel,9.295875e-01,3.660622e-01
1.800000e+00,novel,8.848750e-01,4.601540e-01
2.000000e+00,support,8.443000e-01,5.269322e-01
2.200000e+00,novel,7.829000e-01,6.069130e-01
2.400000e+00,novel,7.100375e-01,6.863259e-01
2.600000e+00,novel,6.309750e-01,7.561107e-01
2.800000e+00,novel,5.388625e-01,8.244635e-01
3.000000e+00,support,4.683250e-01,8.720524e-01
3.200000e+00,novel,4.116250e-01,9.045283e-01
3.400000e+00,novel,3.653250e-01,9.286398e-01
3.600000e+00,novel,3.422625e-01,9.401621e-01
3.800000e+00,novel,3.180250e-01,9.530679e-01
4.000000e+00,support,3.016750e-01,9.597273e-01
4.200000e+00,novel,2.927000e-01,9.643850e-01
4.500000e+00,novel,2.796000e-01,9.698551e-01
5.000000e+00,support,2.658875e-01,9.764889e-01
5.500000e+00,novel,2.586125e-01,9.816549e-01
6.000000e+00,support,2.473125e-01,9.850075e-01
6.500000e+00,novel,2.431250e-01,9.867256e-01
7.000000e+00,support,2.383375e-01,9.890794e-01
