h,type,mz,mx
1.000000,support,0.967687,0.251413
1.500000,novel,0.919762,0.387455
1.800000,novel,0.868675,0.487160
2.100000,novel,0.787925,0.601961
2.400000,novel,0.680112,0.713407
2.600000,novel,0.609525,0.774023
2.800000,novel,0.539113,0.828206
2.900000,novel,0.501737,0.852050
3.000000,support,0.467663,0.871633
3.100000,novel,0.442113,0.887697
3.300000,novel,0.395662,0.912503
3.400000,novel,0.377037,0.921770
3.600000,novel,0.344550,0.938360
3.800000,novel,0.321213,0.950233
4.000000,novel,0.301912,0.958213
4.500000,novel,0.274388,0.969761
5.000000,novel,0.258013,0.975641
5.500000,novel,0.249663,0.983263
6.000000,novel,0.242087,0.985873
6.500000,novel,0.238438,0.988860
7.000000,support,0.236887,0.989620
