h,type,mz,mx
1.000000,support,0.968113,0.249807
1.500000,novel,0.928237,0.367736
1.800000,novel,0.882650,0.462187
2.000000,novel,0.833650,0.539697
2.200000,novel,0.776200,0.613823
2.400000,novel,0.706438,0.689486
2.600000,novel,0.625075,0.761527
2.800000,novel,0.542825,0.824013
3.000000,support,0.472075,0.871802
3.200000,novel,0.417313,0.903847
3.400000,novel,0.370400,0.929219
3.600000,novel,0.343525,0.942796
3.800000,novel,0.317338,0.956051
4.000000,novel,0.297850,0.964182
4.200000,novel,0.282912,0.969807
4.500000,novel,0.274725,0.974129
5.000000,support,0.262987,0.978671
5.500000,novel,0.257800,0.983656
6.000000,novel,0.247875,0.986008
6.500000,novel,0.244550,0.987810
7.000000,support,0.244925,0.988102
