h,type,overlap_2000,overlap_5000,overlap_20000
1.000000,support,0.999359,0.999632,0.999726
1.500000,novel,0.998382,0.998930,0.999329
2.000000,support,0.995384,0.997722,0.999105
2.500000,novel,0.986430,0.994257,0.997885
2.800000,novel,0.983076,0.992273,0.996965
3.000000,support,0.982599,0.991716,0.997188
3.200000,novel,0.982871,0.991642,0.997632
3.500000,novel,0.983960,0.991955,0.998115
4.000000,support,0.987177,0.993101,0.998630
4.500000,novel,0.990279,0.994152,0.998898
5.000000,support,0.992204,0.994951,0.999015
5.500000,novel,0.993239,0.995588,0.999078
6.000000,support,0.993773,0.996075,0.999104
7.000000,support,0.994144,0.996634,0.999026
