h,chi_F
1.000000e+00,2.547045e-01
1.071429e+00,2.652122e-01
1.142857e+00,2.762703e-01
1.214286e+00,2.860940e-01
1.285714e+00,2.934899e-01
1.357143e+00,3.029032e-01
1.428571e+00,3.160644e-01
1.500000e+00,3.252019e-01
1.571429e+00,3.361716e-01
1.642857e+00,3.489333e-01
1.714286e+00,3.673334e-01
1.785714e+00,3.885230e-01
1.857143e+00,4.181710e-01
1.928571e+00,4.540572e-01
2.000000e+00,4.989139e-01
2.071429e+00,5.486422e-01
2.142857e+00,6.041288e-01
2.214286e+00,6.619601e-01
2.285714e+00,7.140371e-01
2.357143e+00,7.618784e-01
2.428571e+00,7.819564e-01
2.500000e+00,7.862600e-01
2.571429e+00,7.694133e-01
2.642857e+00,7.262921e-01
2.714286e+00,6.745136e-01
2.785714e+00,6.144165e-01
2.857143e+00,5.434867e-01
2.928571e+00,4.769867e-01
3.000000e+00,4.125699e-01
3.071429e+00,3.530526e-01
3.142857e+00,2.969596e-01
3.214286e+00,2.486396e-01
3.285714e+00,2.074995e-01
3.357143e+00,1.713144e-01
3.428571e+00,1.400864e-01
3.500000e+00,1.134277e-01
3.571429e+00,9.130283e-02
3.642857e+00,7.283694e-02
3.714286e+00,5.796533e-02
3.785714e+00,4.644525e-02
3.857143e+00,3.634443e-02
3.928571e+00,2.871313e-02
4.000000e+00,2.247842e-02
4.071429e+00,1.794375e-02
4.142857e+00,1.430585e-02
4.214286e+00,1.156382e-02
4.285714e+00,9.498324e-03
4.357143e+00,7.940968e-03
4.428571e+00,6.656191e-03
4.500000e+00,5.704912e-03
