h,type,mz,mx
1.000000,support,0.966513,0.255253
1.500000,support,0.922063,0.384388
1.800000,novel,0.878400,0.469263
2.100000,support,0.815550,0.563126
2.400000,novel,0.717987,0.673992
2.600000,novel,0.638025,0.744758
2.800000,support,0.549963,0.812204
2.900000,novel,0.511988,0.839541
3.000000,support,0.475863,0.862387
3.100000,novel,0.439988,0.885609
3.300000,support,0.393413,0.914097
3.400000,novel,0.367750,0.924696
3.600000,support,0.344613,0.938769
3.800000,novel,0.323025,0.949635
4.000000,support,0.307213,0.956325
4.500000,novel,0.288675,0.967399
5.000000,support,0.268650,0.975880
5.500000,novel,0.261137,0.979694
6.000000,support,0.247075,0.984200
6.500000,novel,0.241437,0.986153
7.000000,support,0.240413,0.987745
