h,type,mz,mx
1.000000,support,0.967250,0.252906
1.500000,novel,0.920675,0.387343
1.800000,novel,0.866550,0.492075
2.100000,novel,0.775100,0.618973
2.400000,novel,0.655362,0.738977
2.600000,novel,0.566575,0.809253
2.800000,novel,0.481500,0.866071
2.900000,novel,0.449113,0.886023
3.000000,novel,0.412425,0.906699
3.100000,novel,0.387025,0.920594
3.300000,novel,0.352387,0.938419
3.400000,novel,0.339575,0.945015
3.600000,novel,0.329350,0.952134
3.800000,novel,0.320762,0.954690
4.000000,support,0.314125,0.958396
4.500000,novel,0.308912,0.962100
5.000000,novel,0.288625,0.968999
5.500000,novel,0.274725,0.975983
6.000000,novel,0.260112,0.982095
6.500000,novel,0.250350,0.985828
7.000000,support,0.241250,0.989592
