h,type,mz,mx
1.000000,support,0.966425,0.255887
1.500000,novel,0.926962,0.373097
1.800000,novel,0.883738,0.462404
2.100000,support,0.820162,0.561698
2.400000,novel,0.728125,0.672015
2.600000,novel,0.652237,0.742046
2.800000,novel,0.571625,0.805610
2.900000,novel,0.530800,0.833627
3.000000,novel,0.488963,0.860694
3.100000,novel,0.456250,0.882343
3.300000,novel,0.393000,0.920062
3.400000,novel,0.374125,0.927396
3.600000,novel,0.344850,0.944111
3.800000,novel,0.326488,0.952972
4.000000,support,0.312150,0.958077
4.500000,novel,0.302950,0.963414
5.000000,novel,0.286187,0.971117
5.500000,novel,0.277088,0.975498
6.000000,novel,0.257612,0.982353
6.500000,novel,0.246725,0.986769
7.000000,support,0.238438,0.990208
