h,chi_F
1.000000000000000000e+00,2.518729865550994873e-01
1.057971014492753659e+00,2.681709527969360352e-01
1.115942028985507317e+00,2.766942977905273438e-01
1.173913043478260754e+00,2.850940227508544922e-01
1.231884057971014412e+00,2.925424277782440186e-01
1.289855072463768071e+00,2.931979596614837646e-01
1.347826086956521729e+00,2.993981540203094482e-01
1.405797101449275388e+00,3.026588261127471924e-01
1.463768115942029047e+00,3.048382997512817383e-01
1.521739130434782705e+00,3.094579875469207764e-01
1.579710144927536142e+00,3.192000687122344971e-01
1.637681159420290022e+00,3.253678977489471436e-01
1.695652173913043459e+00,3.320169746875762939e-01
1.753623188405797118e+00,3.485788106918334961e-01
1.811594202898550776e+00,3.723578155040740967e-01
1.869565217391304213e+00,3.993131816387176514e-01
1.927536231884058093e+00,4.241770803928375244e-01
1.985507246376811530e+00,4.634823799133300781e-01
2.043478260869565410e+00,4.906105697154998779e-01
2.101449275362318847e+00,5.288447737693786621e-01
2.159420289855072284e+00,5.675254464149475098e-01
2.217391304347826164e+00,6.186491250991821289e-01
2.275362318840580045e+00,6.627475023269653320e-01
2.333333333333333037e+00,7.186344265937805176e-01
2.391304347826086918e+00,7.638144493103027344e-01
2.449275362318840799e+00,7.936628460884094238e-01
2.507246376811594235e+00,8.047456145286560059e-01
2.565217391304347672e+00,7.936751842498779297e-01
2.623188405797101552e+00,7.653545141220092773e-01
2.681159420289854989e+00,7.297678589820861816e-01
2.739130434782608425e+00,6.746856570243835449e-01
2.797101449275362306e+00,6.173046827316284180e-01
2.855072463768116187e+00,5.639213919639587402e-01
2.913043478260869623e+00,5.066837072372436523e-01
2.971014492753623060e+00,4.431883990764617920e-01
3.028985507246376940e+00,3.889256417751312256e-01
3.086956521739130377e+00,3.344781398773193359e-01
3.144927536231884257e+00,2.881610989570617676e-01
3.202898550724637694e+00,2.480670660734176636e-01
3.260869565217391131e+00,2.106381803750991821e-01
3.318840579710145011e+00,1.788378208875656128e-01
3.376811594202898448e+00,1.520902216434478760e-01
3.434782608695652328e+00,1.288252174854278564e-01
3.492753623188405765e+00,1.083322018384933472e-01
3.550724637681159646e+00,9.170001745223999023e-02
3.608695652173913082e+00,7.650952786207199097e-02
3.666666666666666519e+00,6.485987454652786255e-02
3.724637681159420399e+00,5.427684634923934937e-02
3.782608695652173836e+00,4.627503454685211182e-02
3.840579710144927716e+00,3.952562063932418823e-02
3.898550724637681153e+00,3.299812600016593933e-02
3.956521739130435034e+00,2.771493420004844666e-02
4.014492753623188470e+00,2.405187487602233887e-02
4.072463768115941463e+00,2.093434706330299377e-02
4.130434782608695343e+00,1.832547038793563843e-02
4.188405797101449224e+00,1.629541628062725067e-02
4.246376811594203105e+00,1.454200223088264465e-02
4.304347826086956985e+00,1.303348597139120102e-02
4.362318840579709978e+00,1.182607654482126236e-02
4.420289855072463858e+00,1.077799685299396515e-02
4.478260869565216851e+00,1.020640693604946136e-02
4.536231884057970731e+00,9.477298706769943237e-03
4.594202898550724612e+00,8.933178149163722992e-03
4.652173913043478493e+00,8.388811722397804260e-03
4.710144927536232373e+00,7.891576737165451050e-03
4.768115942028985366e+00,7.455503102391958237e-03
4.826086956521739246e+00,7.120509631931781769e-03
4.884057971014492239e+00,6.791653111577033997e-03
4.942028985507246119e+00,6.491922773420810699e-03
5.000000000000000000e+00,6.234792061150074005e-03
