h,chi_F
1.000000000000000000e+00,2.766127001468515201e-01
1.040404040404040442e+00,2.790505900432758146e-01
1.080808080808080884e+00,2.816338356343360827e-01
1.121212121212121104e+00,2.843714284211524279e-01
1.161616161616161547e+00,2.872740618131431889e-01
1.202020202020201989e+00,2.903544043167167743e-01
1.242424242424242431e+00,2.936276515094896067e-01
1.282828282828282873e+00,2.971121309045009484e-01
1.323232323232323315e+00,3.008300872580609298e-01
1.363636363636363757e+00,3.048086249238654566e-01
1.404040404040403978e+00,3.090808337664289196e-01
1.444444444444444420e+00,3.136871207441421228e-01
1.484848484848484862e+00,3.186767557610629131e-01
1.525252525252525304e+00,3.241096366684322883e-01
1.565656565656565746e+00,3.300582614911605761e-01
1.606060606060605966e+00,3.366098759157162279e-01
1.646464646464646631e+00,3.438687329656303637e-01
1.686868686868686851e+00,3.519583556091747112e-01
1.727272727272727293e+00,3.610236297306882447e-01
1.767676767676767735e+00,3.712324643370057409e-01
1.808080808080808177e+00,3.827766319092142933e-01
1.848484848484848619e+00,3.958712383989654859e-01
1.888888888888888840e+00,4.107520581729387499e-01
1.929292929292929504e+00,4.276697130776134781e-01
1.969696969696969724e+00,4.468793870721166628e-01
2.010101010101010388e+00,4.686244918698488915e-01
2.050505050505050608e+00,4.931125306491557225e-01
2.090909090909090828e+00,5.204814919557916308e-01
2.131313131313131493e+00,5.507556906757271609e-01
2.171717171717171713e+00,5.837913590334546932e-01
2.212121212121211933e+00,6.192148077936103778e-01
2.252525252525252597e+00,6.563597975692989639e-01
2.292929292929293261e+00,6.942156471270036766e-01
2.333333333333333481e+00,7.314025555972185622e-01
2.373737373737373701e+00,7.661936023479456459e-01
2.414141414141414366e+00,7.966010651612375204e-01
2.454545454545454586e+00,8.205353775081860590e-01
2.494949494949494806e+00,8.360276244887041575e-01
2.535353535353535470e+00,8.414843559527059869e-01
2.575757575757576134e+00,8.359245629230342978e-01
2.616161616161616355e+00,8.191426190852648670e-01
2.656565656565656575e+00,7.917539732147382825e-01
2.696969696969697239e+00,7.551100794336773614e-01
2.737373737373737459e+00,7.111044437683843311e-01
2.777777777777777679e+00,6.619184628636901602e-01
2.818181818181818343e+00,6.097643577640721180e-01
2.858585858585859008e+00,5.566725665341873963e-01
2.898989898989899228e+00,5.043499296307611957e-01
2.939393939393939448e+00,4.541127767381341052e-01
2.979797979797980112e+00,4.068828270948426917e-01
3.020202020202020332e+00,3.632261875565185871e-01
3.060606060606060996e+00,3.234153673144536945e-01
3.101010101010101216e+00,2.874981791058948133e-01
3.141414141414141437e+00,2.553627990978832862e-01
3.181818181818182101e+00,2.267932403291617605e-01
3.222222222222222321e+00,2.015132150167747438e-01
3.262626262626262985e+00,1.792186947976340539e-01
3.303030303030303205e+00,1.596006877512913258e-01
3.343434343434343425e+00,1.423601776464710755e-01
3.383838383838384090e+00,1.272171443568071436e-01
3.424242424242424310e+00,1.139153313288140540e-01
3.464646464646464974e+00,1.022240979023516516e-01
3.505050505050505194e+00,9.193837269025822989e-02
3.545454545454545858e+00,8.287744647809812404e-02
3.585858585858586078e+00,7.488312026153358392e-02
3.626262626262626299e+00,6.781755659863271390e-02
3.666666666666666963e+00,6.156105807614332959e-02
3.707070707070707183e+00,5.600991095374491940e-02
3.747474747474747847e+00,5.107437198127544320e-02
3.787878787878788067e+00,4.667683746860162158e-02
3.828282828282828731e+00,4.275020792568481887e-02
3.868686868686868952e+00,3.923644627886321845e-02
3.909090909090909172e+00,3.608531881852980461e-02
3.949494949494949836e+00,3.325330321583507692e-02
3.989898989898990056e+00,3.070264614412999971e-02
4.030303030303031164e+00,2.840055309152243398e-02
4.070707070707070940e+00,2.631849328723762441e-02
4.111111111111110716e+00,2.443160457531925317e-02
4.151515151515152269e+00,2.271818426150125705e-02
4.191919191919192045e+00,2.115925367726308876e-02
4.232323232323232709e+00,1.973818579402656509e-02
4.272727272727273373e+00,1.844038664206726699e-02
4.313131313131313149e+00,1.725302256329279763e-02
4.353535353535353813e+00,1.616478652182908385e-02
4.393939393939394478e+00,1.516569761967980975e-02
4.434343434343434254e+00,1.424692893238890465e-02
4.474747474747474918e+00,1.340065946078005353e-02
4.515151515151515582e+00,1.261994659753542733e-02
4.555555555555555358e+00,1.189861615477422543e-02
4.595959595959596911e+00,1.123116734450555453e-02
4.636363636363636687e+00,1.061269055718118762e-02
4.676767676767676463e+00,1.003879613359511327e-02
4.717171717171718015e+00,9.505552475395384962e-03
4.757575757575757791e+00,9.009432266856120045e-03
4.797979797979798455e+00,8.547265630135213177e-03
4.838383838383839120e+00,8.116199212863396337e-03
4.878787878787878896e+00,7.713660479903504744e-03
4.919191919191919560e+00,7.337326417666831593e-03
4.959595959595960224e+00,6.985096089100098493e-03
5.000000000000000000e+00,6.655066562376223127e-03
