h,type,mz,mx
1.000000,support,0.966625,0.255775
1.500000,support,0.920225,0.388537
1.800000,novel,0.884275,0.460024
2.100000,support,0.821925,0.556009
2.400000,novel,0.722575,0.669490
2.600000,novel,0.631300,0.752456
2.800000,support,0.549987,0.815566
2.900000,novel,0.516000,0.837772
3.000000,support,0.475525,0.864993
3.100000,novel,0.451963,0.881324
3.300000,support,0.399975,0.911334
3.400000,novel,0.381963,0.918470
3.600000,support,0.349263,0.936097
3.800000,novel,0.327025,0.947779
4.000000,support,0.310775,0.953205
4.500000,novel,0.282912,0.968487
5.000000,support,0.267738,0.973216
5.500000,novel,0.258438,0.979279
6.000000,support,0.246312,0.985080
6.500000,novel,0.242062,0.986428
7.000000,support,0.237075,0.988730
