h,type,mz,mx
1.000000,support,0.967438,0.252457
1.500000,novel,0.921750,0.383816
1.800000,novel,0.868800,0.485271
2.100000,novel,0.787050,0.601221
2.400000,novel,0.686150,0.708019
2.600000,novel,0.608487,0.775959
2.800000,novel,0.538250,0.826729
2.900000,novel,0.505437,0.848740
3.000000,support,0.470900,0.872630
3.100000,novel,0.447237,0.885081
3.300000,novel,0.395562,0.913968
3.400000,novel,0.382075,0.919700
3.600000,novel,0.347338,0.937141
3.800000,novel,0.318625,0.950720
4.000000,novel,0.300950,0.956249
4.500000,novel,0.271163,0.970996
5.000000,novel,0.259400,0.976306
5.500000,novel,0.250362,0.982052
6.000000,novel,0.242750,0.985768
6.500000,novel,0.238625,0.988560
7.000000,support,0.237125,0.990895
