h,type,mz,mx
1.000000,support,0.967700,0.251640
1.500000,novel,0.932437,0.359718
1.800000,novel,0.889988,0.449685
2.100000,support,0.824737,0.554726
2.400000,novel,0.732113,0.666184
2.600000,novel,0.646450,0.747534
2.800000,novel,0.568738,0.807679
2.900000,novel,0.533188,0.835157
3.000000,novel,0.493225,0.861347
3.100000,novel,0.462625,0.878617
3.300000,support,0.398863,0.915511
3.400000,novel,0.382450,0.922306
3.600000,novel,0.337700,0.943929
3.800000,novel,0.308350,0.955686
4.000000,novel,0.288725,0.962470
4.500000,novel,0.258462,0.974937
5.000000,novel,0.249563,0.979267
5.500000,novel,0.243887,0.982821
6.000000,novel,0.238400,0.986375
6.500000,novel,0.240525,0.988192
7.000000,support,0.238550,0.990011
