h,chi_F
1.000000000000000000e+00,2.628059685230255127e-01
1.059322033898305149e+00,2.717206180095672607e-01
1.118644067796610075e+00,2.899355888366699219e-01
1.177966101694915224e+00,2.920293211936950684e-01
1.237288135593220373e+00,3.035767376422882080e-01
1.296610169491525522e+00,3.041771650314331055e-01
1.355932203389830448e+00,3.125291168689727783e-01
1.415254237288135597e+00,3.167998790740966797e-01
1.474576271186440746e+00,3.162399232387542725e-01
1.533898305084745672e+00,3.210117518901824951e-01
1.593220338983050821e+00,3.227357268333435059e-01
1.652542372881355970e+00,3.344456851482391357e-01
1.711864406779660897e+00,3.395030796527862549e-01
1.771186440677966267e+00,3.600630760192871094e-01
1.830508474576271194e+00,3.733811974525451660e-01
1.889830508474576343e+00,3.906588256359100342e-01
1.949152542372881491e+00,4.232724010944366455e-01
2.008474576271186418e+00,4.579128324985504150e-01
2.067796610169491345e+00,4.987172484397888184e-01
2.127118644067796716e+00,5.389923453330993652e-01
2.186440677966101642e+00,5.988959074020385742e-01
2.245762711864406569e+00,6.418919563293457031e-01
2.305084745762711940e+00,6.992832422256469727e-01
2.364406779661017310e+00,7.320131659507751465e-01
2.423728813559321793e+00,7.588492631912231445e-01
2.483050847457627164e+00,7.697479724884033203e-01
2.542372881355932535e+00,7.662466168403625488e-01
2.601694915254237017e+00,7.348199486732482910e-01
2.661016949152542388e+00,7.060164809226989746e-01
2.720338983050847759e+00,6.670815944671630859e-01
2.779661016949152685e+00,6.145930886268615723e-01
2.838983050847457612e+00,5.648885965347290039e-01
2.898305084745762983e+00,5.091970562934875488e-01
2.957627118644067910e+00,4.568284153938293457e-01
3.016949152542372836e+00,4.076368212699890137e-01
3.076271186440678207e+00,3.600703775882720947e-01
3.135593220338983134e+00,3.183929324150085449e-01
3.194915254237288060e+00,2.769718468189239502e-01
3.254237288135593431e+00,2.384947240352630615e-01
3.313559322033898358e+00,2.032887339591979980e-01
3.372881355932203284e+00,1.742201000452041626e-01
3.432203389830508655e+00,1.477953791618347168e-01
3.491525423728813582e+00,1.223408803343772888e-01
3.550847457627118509e+00,1.028829738497734070e-01
3.610169491525423879e+00,8.438165485858917236e-02
3.669491525423728806e+00,6.899005919694900513e-02
3.728813559322034177e+00,5.541733279824256897e-02
3.788135593220339103e+00,4.509880766272544861e-02
3.847457627118644030e+00,3.614851087331771851e-02
3.906779661016949401e+00,2.876526489853858948e-02
3.966101694915254328e+00,2.327107265591621399e-02
4.025423728813558810e+00,1.871059834957122803e-02
4.084745762711865069e+00,1.544091477990150452e-02
4.144067796610169552e+00,1.260944548994302750e-02
4.203389830508474034e+00,1.056521944701671600e-02
4.262711864406780293e+00,9.012092836201190948e-03
4.322033898305084776e+00,7.840876467525959015e-03
4.381355932203389258e+00,6.892705801874399185e-03
4.440677966101695517e+00,6.277222651988267899e-03
4.500000000000000000e+00,5.795393139123916626e-03
