h,type,mz,mx
1.000000,support,0.968325,0.248653
1.500000,support,0.919362,0.389901
1.800000,novel,0.884413,0.458171
2.100000,support,0.821212,0.556755
2.400000,novel,0.718075,0.674071
2.600000,novel,0.631137,0.751746
2.800000,support,0.549900,0.815319
2.900000,novel,0.514588,0.839858
3.000000,support,0.478875,0.861365
3.100000,novel,0.448738,0.882133
3.300000,support,0.399563,0.911235
3.400000,novel,0.377750,0.920738
3.600000,support,0.349088,0.937880
3.800000,novel,0.321475,0.949475
4.000000,support,0.303725,0.956997
4.500000,novel,0.282100,0.969743
5.000000,support,0.267275,0.976142
5.500000,novel,0.260375,0.979557
6.000000,support,0.248775,0.984036
6.500000,novel,0.242425,0.986307
7.000000,support,0.236700,0.989501
