h,type,mz,mx
1.000000,support,0.967050,0.253720
1.500000,support,0.919500,0.390643
1.800000,novel,0.883963,0.460013
2.100000,support,0.822350,0.555153
2.400000,novel,0.718425,0.673679
2.600000,novel,0.631763,0.752098
2.800000,support,0.551538,0.815499
2.900000,novel,0.515513,0.838677
3.000000,support,0.479050,0.863829
3.100000,novel,0.449600,0.881101
3.300000,support,0.396575,0.911646
3.400000,novel,0.379012,0.922004
3.600000,support,0.346013,0.937994
3.800000,novel,0.324075,0.948263
4.000000,support,0.309550,0.955171
4.500000,novel,0.286500,0.968418
5.000000,support,0.269100,0.973772
5.500000,novel,0.258637,0.979895
6.000000,support,0.250275,0.983598
6.500000,novel,0.241800,0.986151
7.000000,support,0.238000,0.988556
