h,chi_F
1.000000000000000000e+00,2.480601668357849121e-01
1.057971014492753659e+00,2.614840567111968994e-01
1.115942028985507317e+00,2.737373411655426025e-01
1.173913043478260754e+00,2.841253876686096191e-01
1.231884057971014412e+00,2.933728396892547607e-01
1.289855072463768071e+00,3.000465333461761475e-01
1.347826086956521729e+00,3.069217503070831299e-01
1.405797101449275388e+00,3.114987015724182129e-01
1.463768115942029047e+00,3.177795112133026123e-01
1.521739130434782705e+00,3.279864788055419922e-01
1.579710144927536142e+00,3.314835131168365479e-01
1.637681159420290022e+00,3.375023603439331055e-01
1.695652173913043459e+00,3.483255803585052490e-01
1.753623188405797118e+00,3.668056726455688477e-01
1.811594202898550776e+00,3.749354779720306396e-01
1.869565217391304213e+00,3.956429660320281982e-01
1.927536231884058093e+00,4.198819100856781006e-01
1.985507246376811530e+00,4.462167024612426758e-01
2.043478260869565410e+00,4.864841401576995850e-01
2.101449275362318847e+00,5.244253873825073242e-01
2.159420289855072284e+00,5.686954259872436523e-01
2.217391304347826164e+00,6.090134382247924805e-01
2.275362318840580045e+00,6.562173962593078613e-01
2.333333333333333037e+00,6.918882131576538086e-01
2.391304347826086918e+00,7.256315946578979492e-01
2.449275362318840799e+00,7.603867650032043457e-01
2.507246376811594235e+00,7.738619446754455566e-01
2.565217391304347672e+00,7.644808888435363770e-01
2.623188405797101552e+00,7.434695363044738770e-01
2.681159420289854989e+00,7.101330161094665527e-01
2.739130434782608425e+00,6.620792150497436523e-01
2.797101449275362306e+00,6.097521781921386719e-01
2.855072463768116187e+00,5.510641336441040039e-01
2.913043478260869623e+00,4.892959296703338623e-01
2.971014492753623060e+00,4.304030835628509521e-01
3.028985507246376940e+00,3.791956305503845215e-01
3.086956521739130377e+00,3.309150934219360352e-01
3.144927536231884257e+00,2.846943140029907227e-01
3.202898550724637694e+00,2.451543211936950684e-01
3.260869565217391131e+00,2.118142694234848022e-01
3.318840579710145011e+00,1.820360124111175537e-01
3.376811594202898448e+00,1.544350236654281616e-01
3.434782608695652328e+00,1.328581720590591431e-01
3.492753623188405765e+00,1.148306503891944885e-01
3.550724637681159646e+00,9.736989438533782959e-02
3.608695652173913082e+00,8.304381370544433594e-02
3.666666666666666519e+00,7.124238461256027222e-02
3.724637681159420399e+00,6.191743910312652588e-02
3.782608695652173836e+00,5.181723088026046753e-02
3.840579710144927716e+00,4.480380192399024963e-02
3.898550724637681153e+00,3.866707906126976013e-02
3.956521739130435034e+00,3.353740647435188293e-02
4.014492753623188470e+00,2.966232411563396454e-02
4.072463768115941463e+00,2.637851610779762268e-02
4.130434782608695343e+00,2.306650392711162567e-02
4.188405797101449224e+00,2.060134522616863251e-02
4.246376811594203105e+00,1.848445832729339600e-02
4.304347826086956985e+00,1.693062111735343933e-02
4.362318840579709978e+00,1.545160729438066483e-02
4.420289855072463858e+00,1.396183297038078308e-02
4.478260869565216851e+00,1.284595951437950134e-02
4.536231884057970731e+00,1.192904170602560043e-02
4.594202898550724612e+00,1.117675378918647766e-02
4.652173913043478493e+00,1.044369675219058990e-02
4.710144927536232373e+00,9.762790985405445099e-03
4.768115942028985366e+00,9.201942943036556244e-03
4.826086956521739246e+00,8.719053119421005249e-03
4.884057971014492239e+00,8.180112577974796295e-03
4.942028985507246119e+00,7.783947512507438660e-03
5.000000000000000000e+00,7.361758500337600708e-03
