h,type,mag_z,mag_x
1.000000e+00,support,9.673750e-01,2.529988e-01
1.500000e+00,novel,9.286250e-01,3.671095e-01
1.800000e+00,novel,8.921250e-01,4.463204e-01
2.000000e+00,support,8.333750e-01,5.374588e-01
2.200000e+00,novel,7.762500e-01,6.166300e-01
2.400000e+00,novel,7.116250e-01,6.821320e-01
2.600000e+00,novel,6.157500e-01,7.654285e-01
2.800000e+00,novel,5.481250e-01,8.140289e-01
3.000000e+00,support,4.765000e-01,8.672937e-01
3.200000e+00,novel,4.153750e-01,9.040893e-01
3.400000e+00,novel,3.811250e-01,9.229564e-01
3.600000e+00,novel,3.346250e-01,9.429420e-01
3.800000e+00,novel,3.132500e-01,9.519116e-01
4.000000e+00,support,2.858750e-01,9.663450e-01
4.200000e+00,novel,2.815000e-01,9.683171e-01
4.500000e+00,novel,2.657500e-01,9.740379e-01
5.000000e+00,support,2.642500e-01,9.785873e-01
5.500000e+00,novel,2.495000e-01,9.850241e-01
6.000000e+00,support,2.446250e-01,9.822375e-01
6.500000e+00,novel,2.486250e-01,9.864832e-01
7.000000e+00,support,2.305000e-01,9.908549e-01
