h,mag_z,mag_x,mag_z_err,mag_x_err
1.000000e+00,9.665000e-01,2.563700e-01,1.332031e-03,5.712173e-03
1.500000e+00,9.173750e-01,3.952012e-01,1.770711e-03,3.088078e-03
1.800000e+00,8.633750e-01,4.984182e-01,6.214901e-03,1.055107e-02
2.000000e+00,8.015000e-01,5.891175e-01,6.779514e-03,8.693755e-03
2.200000e+00,7.402500e-01,6.611810e-01,6.115497e-03,5.962975e-03
2.400000e+00,6.633750e-01,7.369698e-01,9.315273e-03,9.937312e-03
2.600000e+00,5.727500e-01,8.073273e-01,6.865018e-03,5.229068e-03
2.800000e+00,4.888750e-01,8.649597e-01,1.175547e-02,9.997268e-03
3.000000e+00,4.211250e-01,9.053838e-01,7.160608e-03,3.941994e-03
3.200000e+00,3.721250e-01,9.354504e-01,1.447447e-02,8.445144e-03
3.400000e+00,3.370000e-01,9.442934e-01,5.256279e-03,3.364597e-03
3.600000e+00,3.213750e-01,9.554363e-01,1.355288e-03,1.482044e-03
3.800000e+00,3.217500e-01,9.572684e-01,1.288450e-02,4.251017e-03
4.000000e+00,3.078750e-01,9.623249e-01,2.138438e-03,1.165342e-03
4.200000e+00,2.947500e-01,9.651054e-01,4.639429e-03,2.087759e-03
4.500000e+00,2.957500e-01,9.652666e-01,9.426433e-03,1.421852e-03
5.000000e+00,2.832500e-01,9.719118e-01,6.468675e-03,2.420434e-03
5.500000e+00,2.678750e-01,9.764526e-01,3.930384e-03,9.876319e-04
6.000000e+00,2.601250e-01,9.823690e-01,4.133619e-03,2.576884e-03
6.500000e+00,2.477500e-01,9.881422e-01,2.622684e-03,2.382316e-03
7.000000e+00,2.361250e-01,9.915832e-01,3.722585e-03,1.140909e-03
