h,mag_z,mag_x,mag_z_err,mag_x_err
1.000000e+00,9.661250e-01,2.574721e-01,6.947222e-04,2.768097e-03
1.500000e+00,9.307500e-01,3.635668e-01,4.863055e-03,1.133483e-02
1.800000e+00,8.870000e-01,4.522846e-01,2.117224e-03,6.477466e-03
2.000000e+00,8.403750e-01,5.289017e-01,8.063119e-03,1.006216e-02
2.200000e+00,7.906250e-01,5.970979e-01,1.565558e-02,1.510958e-02
2.400000e+00,7.105000e-01,6.866610e-01,2.021765e-02,1.907960e-02
2.600000e+00,6.305000e-01,7.548204e-01,1.944785e-02,1.502106e-02
2.800000e+00,5.530000e-01,8.174887e-01,1.107471e-02,6.822944e-03
3.000000e+00,4.726250e-01,8.726714e-01,2.494438e-03,1.681892e-03
3.200000e+00,4.152500e-01,9.060344e-01,7.884584e-03,1.984495e-03
3.400000e+00,3.655000e-01,9.302052e-01,6.095023e-03,2.094981e-03
3.600000e+00,3.291250e-01,9.487872e-01,5.285922e-03,7.643367e-04
3.800000e+00,3.188750e-01,9.514253e-01,1.031433e-02,4.289511e-03
4.000000e+00,2.928750e-01,9.643518e-01,3.676124e-03,1.427916e-03
4.200000e+00,2.813750e-01,9.690691e-01,1.100820e-03,1.825942e-03
4.500000e+00,2.756250e-01,9.711884e-01,1.001735e-03,1.138792e-03
5.000000e+00,2.622500e-01,9.793370e-01,4.095645e-03,1.475322e-03
5.500000e+00,2.557500e-01,9.817786e-01,6.270245e-03,2.454820e-03
6.000000e+00,2.496250e-01,9.842584e-01,8.249579e-04,7.059978e-05
6.500000e+00,2.441250e-01,9.860197e-01,7.706419e-03,3.371007e-03
7.000000e+00,2.310000e-01,9.908111e-01,4.756574e-03,6.022038e-04
