h,type,mag_z,mag_x
1.000000e+00,support,9.657500e-01,2.593366e-01
1.500000e+00,novel,9.307500e-01,3.635668e-01
1.800000e+00,novel,8.851250e-01,4.620703e-01
2.000000e+00,novel,8.501250e-01,5.195174e-01
2.200000e+00,novel,8.073750e-01,5.835204e-01
2.400000e+00,novel,7.385000e-01,6.601802e-01
2.600000e+00,novel,6.552500e-01,7.384495e-01
2.800000e+00,novel,5.662500e-01,8.075982e-01
3.000000e+00,support,4.686250e-01,8.700064e-01
3.200000e+00,novel,4.027500e-01,9.060344e-01
3.400000e+00,novel,3.542500e-01,9.334807e-01
3.600000e+00,novel,3.291250e-01,9.481881e-01
3.800000e+00,novel,3.188750e-01,9.514253e-01
4.000000e+00,novel,3.001250e-01,9.637107e-01
4.200000e+00,novel,2.813750e-01,9.715855e-01
4.500000e+00,novel,2.756250e-01,9.711884e-01
5.000000e+00,support,2.622500e-01,9.771440e-01
5.500000e+00,novel,2.656250e-01,9.783998e-01
6.000000e+00,novel,2.496250e-01,9.842584e-01
6.500000e+00,novel,2.381250e-01,9.909087e-01
7.000000e+00,support,2.280000e-01,9.919339e-01
