h,chi_F
1.000000e+00,2.766130e-01
1.035354e+00,2.787381e-01
1.070707e+00,2.809739e-01
1.106061e+00,2.833261e-01
1.141414e+00,2.858014e-01
1.176768e+00,2.884076e-01
1.212121e+00,2.911540e-01
1.247475e+00,2.940512e-01
1.282828e+00,2.971121e-01
1.318182e+00,3.003517e-01
1.353535e+00,3.037879e-01
1.388889e+00,3.074420e-01
1.424242e+00,3.113394e-01
1.459596e+00,3.155103e-01
1.494949e+00,3.199908e-01
1.530303e+00,3.248234e-01
1.565657e+00,3.300583e-01
1.601010e+00,3.357546e-01
1.636364e+00,3.419813e-01
1.671717e+00,3.488187e-01
1.707071e+00,3.563591e-01
1.742424e+00,3.647082e-01
1.777778e+00,3.739853e-01
1.813131e+00,3.843240e-01
1.848485e+00,3.958712e-01
1.883838e+00,4.087858e-01
1.919192e+00,4.232353e-01
1.954545e+00,4.393912e-01
1.989899e+00,4.574209e-01
2.025253e+00,4.774767e-01
2.060606e+00,4.996814e-01
2.095960e+00,5.241080e-01
2.131313e+00,5.507557e-01
2.166667e+00,5.795211e-01
2.202020e+00,6.101660e-01
2.237374e+00,6.422849e-01
2.272727e+00,6.752764e-01
2.308081e+00,7.083249e-01
2.343434e+00,7.403991e-01
2.378788e+00,7.702769e-01
2.414141e+00,7.966011e-01
2.449495e+00,8.179674e-01
2.484848e+00,8.330420e-01
2.520202e+00,8.406921e-01
2.555556e+00,8.401137e-01
2.590909e+00,8.309310e-01
2.626263e+00,8.132485e-01
2.661616e+00,7.876450e-01
2.696970e+00,7.551101e-01
2.732323e+00,7.169345e-01
2.767677e+00,6.745779e-01
2.803030e+00,6.295351e-01
2.838384e+00,5.832203e-01
2.873737e+00,5.368819e-01
2.909091e+00,4.915526e-01
2.944444e+00,4.480298e-01
2.979798e+00,4.068828e-01
3.015152e+00,3.684761e-01
3.050505e+00,3.330017e-01
3.085859e+00,3.005151e-01
3.121212e+00,2.709694e-01
3.156566e+00,2.442453e-01
3.191919e+00,2.201764e-01
3.227273e+00,1.985695e-01
3.262626e+00,1.792187e-01
3.297980e+00,1.619169e-01
3.333333e+00,1.464631e-01
3.368687e+00,1.326668e-01
3.404040e+00,1.203511e-01
3.439394e+00,1.093539e-01
3.474747e+00,9.952836e-02
3.510101e+00,9.074223e-02
3.545455e+00,8.287745e-02
3.580808e+00,7.582898e-02
3.616162e+00,6.950371e-02
3.651515e+00,6.381934e-02
3.686869e+00,5.870323e-02
3.722222e+00,5.409136e-02
3.757576e+00,4.992734e-02
3.792929e+00,4.616153e-02
3.828283e+00,4.275021e-02
3.863636e+00,3.965487e-02
3.898990e+00,3.684159e-02
3.934343e+00,3.428043e-02
3.969697e+00,3.194496e-02
4.005051e+00,2.981185e-02
4.040404e+00,2.786044e-02
4.075758e+00,2.607243e-02
4.111111e+00,2.443160e-02
4.146465e+00,2.292355e-02
4.181818e+00,2.153545e-02
4.217172e+00,2.025590e-02
4.252525e+00,1.907472e-02
4.287879e+00,1.798282e-02
4.323232e+00,1.697208e-02
4.358586e+00,1.603522e-02
4.393939e+00,1.516570e-02
4.429293e+00,1.435766e-02
4.464646e+00,1.360582e-02
4.500000e+00,1.290544e-02
