h,type,overlap_2000
1.000000e+00,support,9.992729e-01
1.500000e+00,novel,9.979751e-01
2.000000e+00,support,9.938090e-01
2.500000e+00,novel,9.806769e-01
2.800000e+00,novel,9.752283e-01
3.000000e+00,support,9.741910e-01
3.200000e+00,novel,9.745868e-01
3.500000e+00,novel,9.765280e-01
4.000000e+00,support,9.810827e-01
4.500000e+00,novel,9.852902e-01
5.000000e+00,support,9.884254e-01
5.500000e+00,novel,9.905794e-01
6.000000e+00,support,9.919817e-01
6.500000e+00,novel,9.928623e-01
7.000000e+00,support,9.933397e-01
