h,type,overlap_2000
1.000000e+00,support,9.869143e-01
1.500000e+00,novel,9.921852e-01
2.000000e+00,support,9.830541e-01
2.500000e+00,novel,9.716138e-01
2.800000e+00,novel,9.654144e-01
3.000000e+00,support,9.626850e-01
3.200000e+00,novel,9.618220e-01
3.500000e+00,novel,9.631497e-01
4.000000e+00,support,9.679341e-01
4.500000e+00,novel,9.727187e-01
5.000000e+00,support,9.767063e-01
5.500000e+00,novel,9.798869e-01
6.000000e+00,support,9.823682e-01
6.500000e+00,novel,9.843010e-01
7.000000e+00,support,9.857652e-01
