h,l,type,s2
5.000000e-01,1,support,6.196994e-01
5.000000e-01,2,support,6.792649e-01
5.000000e-01,3,support,6.904887e-01
5.000000e-01,4,support,6.928909e-01
5.000000e-01,5,support,6.935036e-01
5.000000e-01,6,support,6.931474e-01
5.000000e-01,7,support,6.932196e-01
5.000000e-01,8,support,6.931456e-01
5.500000e-01,1,novel,6.174893e-01
5.500000e-01,2,novel,6.772960e-01
5.500000e-01,3,novel,6.891975e-01
5.500000e-01,4,novel,6.928309e-01
5.500000e-01,5,novel,6.928604e-01
5.500000e-01,6,novel,6.925466e-01
5.500000e-01,7,novel,6.929627e-01
5.500000e-01,8,novel,6.926147e-01
6.000000e-01,1,novel,6.008760e-01
6.000000e-01,2,novel,6.724710e-01
6.000000e-01,3,novel,6.919093e-01
6.000000e-01,4,novel,6.976528e-01
6.000000e-01,5,novel,6.987307e-01
6.000000e-01,6,novel,6.988933e-01
6.000000e-01,7,novel,6.990182e-01
6.000000e-01,8,novel,6.988225e-01
6.500000e-01,1,novel,5.879241e-01
6.500000e-01,2,novel,6.680734e-01
6.500000e-01,3,novel,6.860350e-01
6.500000e-01,4,novel,6.929245e-01
6.500000e-01,5,novel,6.953518e-01
6.500000e-01,6,novel,6.964447e-01
6.500000e-01,7,novel,6.970614e-01
6.500000e-01,8,novel,6.969095e-01
7.000000e-01,1,novel,5.702645e-01
7.000000e-01,2,novel,6.632460e-01
7.000000e-01,3,novel,6.865189e-01
7.000000e-01,4,novel,6.989976e-01
7.000000e-01,5,novel,7.015644e-01
7.000000e-01,6,novel,7.031143e-01
7.000000e-01,7,novel,7.032399e-01
7.000000e-01,8,novel,7.038948e-01
7.500000e-01,1,novel,5.482862e-01
7.500000e-01,2,novel,6.467513e-01
7.500000e-01,3,novel,6.805789e-01
7.500000e-01,4,novel,6.960205e-01
7.500000e-01,5,novel,6.986352e-01
7.500000e-01,6,novel,7.030355e-01
7.500000e-01,7,novel,7.055922e-01
7.500000e-01,8,novel,7.059119e-01
8.000000e-01,1,support,5.304713e-01
