h,l,s2,s2_err,type
0.5,1,0.622748867670695,0.004254805783640395,support
0.5,2,0.6866172313690185,0.002372107422315699,support
0.5,3,0.6941644350687662,0.002360990686734543,support
0.5,4,0.6951874415079753,0.002303663335843655,support
0.5,5,0.6955187956492106,0.0022993119327942655,support
0.5,6,0.6958198706309001,0.0022876195000713913,support
0.5,7,0.6956302165985108,0.002261457761176843,support
0.5,8,0.6956668217976888,0.002299889967588304,support
0.55,1,0.6125166416168213,0.0039729055499828116,interpolated
0.55,2,0.6780093987782796,0.0046801544116921836,interpolated
0.55,3,0.6941749572753906,0.0024567639138464853,interpolated
0.55,4,0.6955440362294515,0.0024057478570095247,interpolated
0.55,5,0.6960634231567383,0.0024446930515264163,interpolated
0.55,6,0.696709664662679,0.002437843982315821,interpolated
0.55,7,0.6972213904062907,0.0023449317274277797,interpolated
0.55,8,0.6969792366027832,0.002474973807056229,interpolated
0.6000000000000001,1,0.5982921918233236,0.0027912590027226332,interpolated
0.6000000000000001,2,0.6706629753112793,0.006104917491459495,interpolated
0.6000000000000001,3,0.6915513674418131,0.002480331186953146,interpolated
0.6000000000000001,4,0.6939332962036133,0.002441989565015351,interpolated
0.6000000000000001,5,0.6949106852213541,0.0024927877503784918,interpolated
0.6000000000000001,6,0.6959340254465739,0.002455470858217309,interpolated
0.6000000000000001,7,0.6962011019388835,0.0024387747512400145,interpolated
0.6000000000000001,8,0.6959680080413818,0.002530590268244377,interpolated
0.6500000000000001,1,0.5748100439707439,0.003477976391902628,interpolated
0.6500000000000001,2,0.667590872446696,0.0027323763927643396,interpolated
0.6500000000000001,3,0.687507136662801,0.0022408079337508176,interpolated
0.6500000000000001,4,0.6932300567626953,0.002386074105254157,interpolated
0.6500000000000001,5,0.6944485982259114,0.002331917238954876,interpolated
0.6500000000000001,6,0.6959489663441976,0.0023651376898626516,interpolated
0.6500000000000001,7,0.6964651425679524,0.002392705352704423,interpolated
0.6500000000000001,8,0.696089220046997,0.0023530734241296153,interpolated
0.7000000000000002,1,0.5545536994934082,0.004166841182178521,interpolated
0.7000000000000002,2,0.6574891408284506,0.003615485221301612,interpolated
0.7000000000000002,3,0.6882626851399739,0.002481852093710659,interpolated
0.7000000000000002,4,0.6987698872884115,0.002262333009278153,interpolated
0.7000000000000002,5,0.6993959426879883,0.0028623118502288866,interpolated
0.7000000000000002,6,0.7027838071187337,0.0023869241678937847,interpolated
0.7000000000000002,7,0.7042648315429687,0.0023465480716710913,interpolated
0.7000000000000002,8,0.702946138381958,0.0023332511073529366,interpolated
0.7500000000000002,1,0.5301465034484864,0.003410169104113271,interpolated
0.7500000000000002,2,0.6429591019948323,0.00474994760343691,interpolated
0.7500000000000002,3,0.6807116985321044,0.0037152145270583034,interpolated
0.7500000000000002,4,0.6969977378845215,0.0028281569620622303,interpolated
0.7500000000000002,5,0.7025426387786865,0.0029484145938871937,interpolated
0.7500000000000002,6,0.7057196458180746,0.0026356011099938426,interpolated
0.7500000000000002,7,0.7074674606323242,0.0028172137972506312,interpolated
0.7500000000000002,8,0.7068085670471191,0.0027448425491645185,interpolated
0.8,1,0.5116170724232991,0.0026922201458691956,support
