h,chi_F
1.000000e+00,1.098396e-01
1.071429e+00,1.224152e-01
1.142857e+00,1.357848e-01
1.214286e+00,1.497431e-01
1.285714e+00,1.645175e-01
1.357143e+00,1.820087e-01
1.428571e+00,2.013908e-01
1.500000e+00,2.199566e-01
1.571429e+00,2.380384e-01
1.642857e+00,2.581930e-01
1.714286e+00,2.805447e-01
1.785714e+00,2.979253e-01
1.857143e+00,3.178395e-01
1.928571e+00,3.355413e-01
2.000000e+00,3.483126e-01
2.071429e+00,3.544779e-01
2.142857e+00,3.604468e-01
2.214286e+00,3.590151e-01
2.285714e+00,3.517747e-01
2.357143e+00,3.423176e-01
2.428571e+00,3.248799e-01
2.500000e+00,3.041963e-01
2.571429e+00,2.809790e-01
2.642857e+00,2.562968e-01
2.714286e+00,2.310564e-01
2.785714e+00,2.061260e-01
2.857143e+00,1.822024e-01
2.928571e+00,1.594602e-01
3.000000e+00,1.388031e-01
3.071429e+00,1.201074e-01
3.142857e+00,1.032812e-01
3.214286e+00,8.822703e-02
3.285714e+00,7.510420e-02
3.357143e+00,6.381367e-02
3.428571e+00,5.440046e-02
3.500000e+00,4.634759e-02
3.571429e+00,3.926477e-02
3.642857e+00,3.326624e-02
3.714286e+00,2.818489e-02
3.785714e+00,2.392289e-02
3.857143e+00,2.033435e-02
3.928571e+00,1.740365e-02
4.000000e+00,1.492659e-02
4.071429e+00,1.282510e-02
4.142857e+00,1.104379e-02
4.214286e+00,9.511706e-03
4.285714e+00,8.253275e-03
4.357143e+00,7.197558e-03
4.428571e+00,6.329604e-03
4.500000e+00,5.575605e-03
