h,chi_F
1.000000000000000000e+00,1.098395511507987976e-01
1.061224489795918435e+00,1.207790821790695190e-01
1.122448979591836649e+00,1.323951184749603271e-01
1.183673469387755084e+00,1.430854201316833496e-01
1.244897959183673519e+00,1.568551957607269287e-01
1.306122448979591955e+00,1.689869016408920288e-01
1.367346938775510168e+00,1.847518980503082275e-01
1.428571428571428603e+00,2.013907581567764282e-01
1.489795918367347038e+00,2.168107181787490845e-01
1.551020408163265252e+00,2.327902764081954956e-01
1.612244897959183687e+00,2.492898404598236084e-01
1.673469387755102122e+00,2.671568691730499268e-01
1.734693877551020336e+00,2.852628231048583984e-01
1.795918367346938771e+00,3.010858297348022461e-01
1.857142857142857206e+00,3.178395032882690430e-01
1.918367346938775420e+00,3.339478671550750732e-01
1.979591836734693855e+00,3.445900380611419678e-01
2.040816326530612290e+00,3.532793521881103516e-01
2.102040816326530503e+00,3.568352758884429932e-01
2.163265306122449161e+00,3.611097037792205811e-01
2.224489795918367374e+00,3.578760623931884766e-01
2.285714285714285587e+00,3.517746627330780029e-01
2.346938775510204245e+00,3.442770242691040039e-01
2.408163265306122458e+00,3.303850591182708740e-01
2.469387755102040671e+00,3.137591481208801270e-01
2.530612244897959329e+00,2.947286665439605713e-01
2.591836734693877542e+00,2.737172842025756836e-01
2.653061224489795755e+00,2.528233528137207031e-01
2.714285714285714413e+00,2.310563772916793823e-01
2.775510204081632626e+00,2.095517963171005249e-01
2.836734693877550839e+00,1.889345943927764893e-01
2.897959183673469497e+00,1.693417578935623169e-01
2.959183673469387710e+00,1.502929925918579102e-01
3.020408163265305923e+00,1.331743001937866211e-01
3.081632653061224580e+00,1.175139173865318298e-01
3.142857142857142794e+00,1.032811552286148071e-01
3.204081632653061007e+00,9.033150970935821533e-02
3.265306122448979664e+00,7.866691797971725464e-02
3.326530612244897878e+00,6.850338727235794067e-02
3.387755102040816091e+00,5.950536951422691345e-02
3.448979591836734748e+00,5.188248306512832642e-02
3.510204081632652962e+00,4.530583694577217102e-02
3.571428571428571175e+00,3.926477208733558655e-02
3.632653061224489832e+00,3.408825397491455078e-02
3.693877551020408045e+00,2.957320027053356171e-02
3.755102040816326259e+00,2.568554133176803589e-02
3.816326530612244916e+00,2.229288220405578613e-02
3.877551020408163129e+00,1.946533843874931335e-02
3.938775510204081343e+00,1.699612475931644440e-02
4.000000000000000000e+00,1.492658909410238266e-02
