h,type,mag_z,mag_x
1.000000e+00,support,9.677750e-01,2.510370e-01
1.500000e+00,novel,9.076370e-01,4.170600e-01
1.800000e+00,novel,8.427500e-01,5.330220e-01
2.000000e+00,novel,7.763000e-01,6.201000e-01
2.200000e+00,novel,6.971000e-01,7.049130e-01
2.400000e+00,novel,6.052750e-01,7.832450e-01
2.600000e+00,novel,5.110000e-01,8.514020e-01
2.800000e+00,novel,4.286380e-01,8.999050e-01
3.000000e+00,novel,3.773620e-01,9.272460e-01
3.200000e+00,novel,3.426130e-01,9.435650e-01
3.400000e+00,novel,3.247000e-01,9.525530e-01
3.600000e+00,novel,3.192750e-01,9.554390e-01
3.800000e+00,novel,3.131750e-01,9.591300e-01
4.000000e+00,support,3.107620e-01,9.607190e-01
4.200000e+00,novel,3.083870e-01,9.600380e-01
4.500000e+00,novel,3.069250e-01,9.609270e-01
5.000000e+00,novel,2.898130e-01,9.692410e-01
5.500000e+00,novel,2.769380e-01,9.762280e-01
6.000000e+00,novel,2.573250e-01,9.817320e-01
6.500000e+00,novel,2.478120e-01,9.857820e-01
7.000000e+00,support,2.406750e-01,9.884670e-01
