h,type,mag_z,mag_x
1.000000e+00,support,9.681130e-01,2.498070e-01
1.500000e+00,novel,9.282370e-01,3.677360e-01
1.800000e+00,novel,8.826500e-01,4.621870e-01
2.000000e+00,novel,8.336500e-01,5.396970e-01
2.200000e+00,novel,7.762000e-01,6.138230e-01
2.400000e+00,novel,7.064380e-01,6.894860e-01
2.600000e+00,novel,6.250750e-01,7.615270e-01
2.800000e+00,novel,5.428250e-01,8.240130e-01
3.000000e+00,support,4.720750e-01,8.718020e-01
3.200000e+00,novel,4.173130e-01,9.038470e-01
3.400000e+00,novel,3.704000e-01,9.292190e-01
3.600000e+00,novel,3.435250e-01,9.427960e-01
3.800000e+00,novel,3.173380e-01,9.560510e-01
4.000000e+00,novel,2.978500e-01,9.641820e-01
4.200000e+00,novel,2.829120e-01,9.698070e-01
4.500000e+00,novel,2.747250e-01,9.741290e-01
5.000000e+00,support,2.629870e-01,9.786710e-01
5.500000e+00,novel,2.578000e-01,9.836560e-01
6.000000e+00,novel,2.478750e-01,9.860080e-01
6.500000e+00,novel,2.445500e-01,9.878100e-01
7.000000e+00,support,2.449250e-01,9.881020e-01
